"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of Citable OA
"PROGRESS IN POLYMER SCIENCE","PROG POLYM SCI","PERGAMON-ELSEVIER SCIENCE LTD","0079-6700","1873-1619","POLYMER SCIENCE","SCIE","30,957","31.281","Q1","2.29","5.68"%,
"NATURE IMMUNOLOGY","NAT IMMUNOL","NATURE PORTFOLIO","1529-2908","1529-2916","IMMUNOLOGY","SCIE","61,399","31.25","Q1","4.56","2.42"%,
"Nature Microbiology","NAT MICROBIOL","NATURE PORTFOLIO","2058-5276","2058-5276","MICROBIOLOGY","SCIE","22,473","30.964","Q1","5.53","9.11"%,
"Science Immunology","SCI IMMUNOL","AMER ASSOC ADVANCEMENT SCIENCE","2470-9468","2470-9468","IMMUNOLOGY","SCIE","9,925","30.658","Q1","4.29","1.52"%,
"AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","AM J RESP CRIT CARE","AMER THORACIC SOC","1073-449X","1535-4970","CRITICAL CARE MEDICINE","SCIE","81,909","30.528","Q1","4.14","19.42"%,
"AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","AM J RESP CRIT CARE","AMER THORACIC SOC","1073-449X","1535-4970","RESPIRATORY SYSTEM","SCIE","81,909","30.528","Q1","4.14","19.42"%,
"PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS","PHYS REP","ELSEVIER","0370-1573","1873-6270","PHYSICS, MULTIDISCIPLINARY","SCIE","34,796","30.51","Q1","2.89","22.01"%,
"JAMA Cardiology","JAMA CARDIOL","AMER MEDICAL ASSOC","2380-6583","2380-6591","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","15,185","30.157","Q1","6.04","7.21"%,
"Lancet Haematology","LANCET HAEMATOL","ELSEVIER SCI LTD","2352-3026","N/A","HEMATOLOGY","SCIE","6,730","30.153","Q1","3.92","6.91"%,
"JOURNAL OF HEPATOLOGY","J HEPATOL","ELSEVIER","0168-8278","1600-0641","GASTROENTEROLOGY & HEPATOLOGY","SCIE","62,896","30.083","Q1","4.92","24.93"%,
"JAMA Neurology","JAMA NEUROL","AMER MEDICAL ASSOC","2168-6149","2168-6157","CLINICAL NEUROLOGY","SCIE","21,007","29.907","Q1","8.02","21.56"%,
"Advanced Energy Materials","ADV ENERGY MATER","WILEY-V C H VERLAG GMBH","1614-6832","1614-6840","CHEMISTRY, PHYSICAL","SCIE","116,667","29.698","Q1","3.96","11.42"%,
"Advanced Energy Materials","ADV ENERGY MATER","WILEY-V C H VERLAG GMBH","1614-6832","1614-6840","ENERGY & FUELS","SCIE","116,667","29.698","Q1","3.96","11.42"%,
"Advanced Energy Materials","ADV ENERGY MATER","WILEY-V C H VERLAG GMBH","1614-6832","1614-6840","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","116,667","29.698","Q1","3.96","11.42"%,
"Advanced Energy Materials","ADV ENERGY MATER","WILEY-V C H VERLAG GMBH","1614-6832","1614-6840","PHYSICS, APPLIED","SCIE","116,667","29.698","Q1","3.96","11.42"%,
"Advanced Energy Materials","ADV ENERGY MATER","WILEY-V C H VERLAG GMBH","1614-6832","1614-6840","PHYSICS, CONDENSED MATTER","SCIE","116,667","29.698","Q1","3.96","11.42"%,
"Nature Biomedical Engineering","NAT BIOMED ENG","NATURE PORTFOLIO","2157-846X","2157-846X","ENGINEERING, BIOMEDICAL","SCIE","10,605","29.234","Q1","5.65","1.03"%,
"RADIOLOGY","RADIOLOGY","RADIOLOGICAL SOC NORTH AMERICA (RSNA)","0033-8419","N/A","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","76,067","29.146","Q1","5.6","5.63"%,
"MMWR Surveillance Summaries","MMWR SURVEILL SUMM","CENTERS DISEASE CONTROL & PREVENTION","1545-8636","1545-8636","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","4,118","29.095","Q1","14.5","90.63"%,
"Nature Climate Change","NAT CLIM CHANGE","NATURE PORTFOLIO","1758-678X","1758-6798","ENVIRONMENTAL SCIENCES","SCIE","43,972","28.862","Q1","5.06","1.44"%,
"Nature Climate Change","NAT CLIM CHANGE","NATURE PORTFOLIO","1758-678X","1758-6798","ENVIRONMENTAL STUDIES","SSCI","43,972","28.862","Q1","5.06","1.44"%,
"Nature Climate Change","NAT CLIM CHANGE","NATURE PORTFOLIO","1758-678X","1758-6798","METEOROLOGY & ATMOSPHERIC SCIENCES","SCIE","43,972","28.862","Q1","5.06","1.44"%,
"NATURE NEUROSCIENCE","NAT NEUROSCI","NATURE PORTFOLIO","1097-6256","1546-1726","NEUROSCIENCES","SCIE","82,161","28.771","Q1","5.86","2.21"%,
"Lancet Planetary Health","LANCET PLANET HEALTH","ELSEVIER SCI LTD","N/A","2542-5196","ENVIRONMENTAL SCIENCES","SCIE","4,794","28.75","Q1","4","92.41"%,
"Lancet Planetary Health","LANCET PLANET HEALTH","ELSEVIER SCI LTD","N/A","2542-5196","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","4,794","28.75","Q1","4","92.41"%,
"Lancet Planetary Health","LANCET PLANET HEALTH","ELSEVIER SCI LTD","N/A","2542-5196","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","4,794","28.75","Q1","4","92.41"%,
"Living Reviews in Solar Physics","LIVING REV SOL PHYS","SPRINGER INT PUBL AG","2367-3648","1614-4961","ASTRONOMY & ASTROPHYSICS","SCIE","1,957","28.7","Q1","2.4","93.33"%,
"Annual Review of Plant Biology","ANNU REV PLANT BIOL","ANNUAL REVIEWS","1543-5008","1545-2123","PLANT SCIENCES","SCIE","25,803","28.31","Q1","2.75","1.11"%,
"NATURE CELL BIOLOGY","NAT CELL BIOL","NATURE PORTFOLIO","1465-7392","1476-4679","CELL BIOLOGY","SCIE","55,078","28.213","Q1","3.47","3.09"%,
"ANNALS OF THE RHEUMATIC DISEASES","ANN RHEUM DIS","BMJ PUBLISHING GROUP","0003-4967","1468-2060","RHEUMATOLOGY","SCIE","63,863","28.003","Q1","4.31","38.55"%,
"Annual Review of Psychology","ANNU REV PSYCHOL","ANNUAL REVIEWS","0066-4308","1545-2085","PSYCHOLOGY","SCIE","30,374","27.782","Q1","3.6","0"%,
"Annual Review of Psychology","ANNU REV PSYCHOL","ANNUAL REVIEWS","0066-4308","1545-2085","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","30,374","27.782","Q1","3.6","0"%,
"Science Robotics","SCI ROBOT","AMER ASSOC ADVANCEMENT SCIENCE","2470-9476","2470-9476","ROBOTICS","SCIE","6,762","27.541","Q1","6.07","0.53"%,
"Annual Review of Biochemistry","ANNU REV BIOCHEM","ANNUAL REVIEWS","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","25,139","27.258","Q1","2.44","2.13"%,
"JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY","J AM COLL CARDIOL","ELSEVIER SCIENCE INC","0735-1097","1558-3597","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","134,736","27.206","Q1","4.74","15.05"%,
"Nature Sustainability","NAT SUSTAIN","NATURE PORTFOLIO","2398-9629","2398-9629","ENVIRONMENTAL SCIENCES","SCIE","10,711","27.157","Q1","3.86","4.95"%,
"Nature Sustainability","NAT SUSTAIN","NATURE PORTFOLIO","2398-9629","2398-9629","ENVIRONMENTAL STUDIES","SSCI","10,711","27.157","Q1","3.86","4.95"%,
"Nature Sustainability","NAT SUSTAIN","NATURE PORTFOLIO","2398-9629","2398-9629","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SSCI","10,711","27.157","Q1","3.86","4.95"%,
"Dialogues in Human Geography","DIALOGUES HUM GEOGR","SAGE PUBLICATIONS LTD","2043-8206","2043-8214","GEOGRAPHY","SSCI","1,372","27","Q1","3.09","29.03"%,
"Materials Today","MATER TODAY","ELSEVIER SCI LTD","1369-7021","1873-4103","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","24,067","26.943","Q1","3.49","14.4"%,
"JAMA Pediatrics","JAMA PEDIATR","AMER MEDICAL ASSOC","2168-6203","2168-6211","PEDIATRICS","SCIE","19,182","26.8","Q1","5.77","12.39"%,
"JAMA Psychiatry","JAMA PSYCHIAT","AMER MEDICAL ASSOC","2168-622X","2168-6238","PSYCHIATRY","SCIE","22,149","25.936","Q1","4.13","18.67"%,
"JAMA Psychiatry","JAMA PSYCHIAT","AMER MEDICAL ASSOC","2168-622X","2168-6238","PSYCHIATRY","SSCI","22,149","25.936","Q1","4.13","18.67"%,
"Nature Machine Intelligence","NAT MACH INTELL","NATURE PORTFOLIO","N/A","2522-5839","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,060","25.898","Q1","3.92","3.77"%,
"Nature Machine Intelligence","NAT MACH INTELL","NATURE PORTFOLIO","N/A","2522-5839","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","4,060","25.898","Q1","3.92","3.77"%,
"Chem","CHEM-US","CELL PRESS","2451-9294","2451-9294","CHEMISTRY, MULTIDISCIPLINARY","SCIE","19,815","25.832","Q1","3.03","4.82"%,
"STUDIES IN MYCOLOGY","STUD MYCOL","CENTRAALBUREAU SCHIMMELCULTURE","0166-0616","1872-9797","MYCOLOGY","SCIE","4,947","25.731","Q1","5.73","100"%,
"BLOOD","BLOOD","AMER SOC HEMATOLOGY","0006-4971","1528-0020","HEMATOLOGY","SCIE","205,634","25.669","Q1","3.19","2.24"%,
"PSYCHOTHERAPY AND PSYCHOSOMATICS","PSYCHOTHER PSYCHOSOM","KARGER","0033-3190","1423-0348","PSYCHIATRY","SSCI","6,813","25.617","Q1","3.8","26.19"%,
"PSYCHOTHERAPY AND PSYCHOSOMATICS","PSYCHOTHER PSYCHOSOM","KARGER","0033-3190","1423-0348","PSYCHIATRY","SCIE","6,813","25.617","Q1","3.8","26.19"%,
"PSYCHOTHERAPY AND PSYCHOSOMATICS","PSYCHOTHER PSYCHOSOM","KARGER","0033-3190","1423-0348","PSYCHOLOGY","SCIE","6,813","25.617","Q1","3.8","26.19"%,
"Annual Review of Fluid Mechanics","ANNU REV FLUID MECH","ANNUAL REVIEWS","0066-4189","1545-4479","MECHANICS","SCIE","17,011","25.293","Q1","2.24","1.67"%,
"Annual Review of Fluid Mechanics","ANNU REV FLUID MECH","ANNUAL REVIEWS","0066-4189","1545-4479","PHYSICS, FLUIDS & PLASMAS","SCIE","17,011","25.293","Q1","2.24","1.67"%,
"Cell Stem Cell","CELL STEM CELL","CELL PRESS","1934-5909","1875-9777","CELL & TISSUE ENGINEERING","SCIE","35,867","25.269","Q1","4.15","17.17"%,
"Cell Stem Cell","CELL STEM CELL","CELL PRESS","1934-5909","1875-9777","CELL BIOLOGY","SCIE","35,867","25.269","Q1","4.15","17.17"%,
"ENDOCRINE REVIEWS","ENDOCR REV","ENDOCRINE SOC","0163-769X","1945-7189","ENDOCRINOLOGY & METABOLISM","SCIE","18,600","25.261","Q1","2.96","30.58"%,
"REVIEWS OF GEOPHYSICS","REV GEOPHYS","AMER GEOPHYSICAL UNION","8755-1209","1944-9208","GEOCHEMISTRY & GEOPHYSICS","SCIE","17,297","24.946","Q1","2.57","48"%,
"FUNGAL DIVERSITY","FUNGAL DIVERS","SPRINGER","1560-2745","1878-9129","MYCOLOGY","SCIE","6,212","24.902","Q1","6.64","30.88"%,
"International Journal of Oral Science","INT J ORAL SCI","SPRINGERNATURE","1674-2818","2049-3169","DENTISTRY, ORAL SURGERY & MEDICINE","SCIE","3,367","24.897","Q1","8.1","100"%,
"COORDINATION CHEMISTRY REVIEWS","COORDIN CHEM REV","ELSEVIER SCIENCE SA","0010-8545","1873-3840","CHEMISTRY, INORGANIC & NUCLEAR","SCIE","50,602","24.833","Q1","1.94","3.78"%,
"InfoMat","INFOMAT","WILEY","N/A","2567-3165","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","3,447","24.798","Q1","2.37","86.76"%,
"Advances in Optics and Photonics","ADV OPT PHOTONICS","OPTICAL SOC AMER","1943-8206","N/A","OPTICS","SCIE","3,791","24.75","Q1","3.31","20"%,
"TRENDS IN COGNITIVE SCIENCES","TRENDS COGN SCI","ELSEVIER SCIENCE LONDON","1364-6613","1879-307X","BEHAVIORAL SCIENCES","SCIE","36,688","24.482","Q1","2.22","20.28"%,
"TRENDS IN COGNITIVE SCIENCES","TRENDS COGN SCI","ELSEVIER SCIENCE LONDON","1364-6613","1879-307X","NEUROSCIENCES","SCIE","36,688","24.482","Q1","2.22","20.28"%,
"TRENDS IN COGNITIVE SCIENCES","TRENDS COGN SCI","ELSEVIER SCIENCE LONDON","1364-6613","1879-307X","PSYCHOLOGY, EXPERIMENTAL","SSCI","36,688","24.482","Q1","2.22","20.28"%,
"ACCOUNTS OF CHEMICAL RESEARCH","ACCOUNTS CHEM RES","AMER CHEMICAL SOC","0001-4842","1520-4898","CHEMISTRY, MULTIDISCIPLINARY","SCIE","87,364","24.466","Q1","1.38","8.31"%,
"EUROPEAN UROLOGY","EUR UROL","ELSEVIER","0302-2838","1873-7560","UROLOGY & NEPHROLOGY","SCIE","42,327","24.344","Q1","6.19","15.69"%,
"APPLIED CATALYSIS B-ENVIRONMENTAL","APPL CATAL B-ENVIRON","ELSEVIER","0926-3373","1873-3883","CHEMISTRY, PHYSICAL","SCIE","156,968","24.319","Q1","3.13","2.61"%,
"APPLIED CATALYSIS B-ENVIRONMENTAL","APPL CATAL B-ENVIRON","ELSEVIER","0926-3373","1873-3883","ENGINEERING, CHEMICAL","SCIE","156,968","24.319","Q1","3.13","2.61"%,
"APPLIED CATALYSIS B-ENVIRONMENTAL","APPL CATAL B-ENVIRON","ELSEVIER","0926-3373","1873-3883","ENGINEERING, ENVIRONMENTAL","SCIE","156,968","24.319","Q1","3.13","2.61"%,
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","IEEE T PATTERN ANAL","IEEE COMPUTER SOC","0162-8828","1939-3539","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","73,149","24.314","Q1","4.71","7.75"%,
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","IEEE T PATTERN ANAL","IEEE COMPUTER SOC","0162-8828","1939-3539","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","73,149","24.314","Q1","4.71","7.75"%,
"Nature Chemistry","NAT CHEM","NATURE PORTFOLIO","1755-4330","1755-4349","CHEMISTRY, MULTIDISCIPLINARY","SCIE","43,897","24.274","Q1","4.04","1.67"%,
"Nature Human Behaviour","NAT HUM BEHAV","NATURE PORTFOLIO","2397-3374","2397-3374","MULTIDISCIPLINARY SCIENCES","SCIE","11,204","24.252","Q1","4.7","4.34"%,
"Nature Human Behaviour","NAT HUM BEHAV","NATURE PORTFOLIO","2397-3374","2397-3374","NEUROSCIENCES","SCIE","11,204","24.252","Q1","4.7","4.34"%,
"Nature Human Behaviour","NAT HUM BEHAV","NATURE PORTFOLIO","2397-3374","2397-3374","PSYCHOLOGY, EXPERIMENTAL","SSCI","11,204","24.252","Q1","4.7","4.34"%,
"ACS Energy Letters","ACS ENERGY LETT","AMER CHEMICAL SOC","2380-8195","2380-8195","CHEMISTRY, PHYSICAL","SCIE","42,884","23.991","Q1","3.27","10.58"%,
"ACS Energy Letters","ACS ENERGY LETT","AMER CHEMICAL SOC","2380-8195","2380-8195","ELECTROCHEMISTRY","SCIE","42,884","23.991","Q1","3.27","10.58"%,
"ACS Energy Letters","ACS ENERGY LETT","AMER CHEMICAL SOC","2380-8195","2380-8195","ENERGY & FUELS","SCIE","42,884","23.991","Q1","3.27","10.58"%,
"ACS Energy Letters","ACS ENERGY LETT","AMER CHEMICAL SOC","2380-8195","2380-8195","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","42,884","23.991","Q1","3.27","10.58"%,
"ACS Energy Letters","ACS ENERGY LETT","AMER CHEMICAL SOC","2380-8195","2380-8195","NANOSCIENCE & NANOTECHNOLOGY","SCIE","42,884","23.991","Q1","3.27","10.58"%,
"Annual Review of Condensed Matter Physics","ANNU REV CONDEN MA P","ANNUAL REVIEWS","1947-5454","1947-5462","PHYSICS, CONDENSED MATTER","SCIE","4,665","23.978","Q1","1.08","0"%,
"ADVANCES IN PHYSICS","ADV PHYS","TAYLOR & FRANCIS LTD","0001-8732","1460-6976","PHYSICS, CONDENSED MATTER","SCIE","6,536","23.75","Q1","1.05","0"%,
"Nano-Micro Letters","NANO-MICRO LETT","SHANGHAI JIAO TONG UNIV PRESS","2311-6706","2150-5551","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","12,169","23.655","Q1","2.71","99.79"%,
"Nano-Micro Letters","NANO-MICRO LETT","SHANGHAI JIAO TONG UNIV PRESS","2311-6706","2150-5551","NANOSCIENCE & NANOTECHNOLOGY","SCIE","12,169","23.655","Q1","2.71","99.79"%,
"Nano-Micro Letters","NANO-MICRO LETT","SHANGHAI JIAO TONG UNIV PRESS","2311-6706","2150-5551","PHYSICS, APPLIED","SCIE","12,169","23.655","Q1","2.71","99.79"%,
"CIRCULATION RESEARCH","CIRC RES","LIPPINCOTT WILLIAMS & WILKINS","0009-7330","1524-4571","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","72,820","23.218","Q1","3.81","14.43"%,
"CIRCULATION RESEARCH","CIRC RES","LIPPINCOTT WILLIAMS & WILKINS","0009-7330","1524-4571","HEMATOLOGY","SCIE","72,820","23.218","Q1","3.81","14.43"%,
"CIRCULATION RESEARCH","CIRC RES","LIPPINCOTT WILLIAMS & WILKINS","0009-7330","1524-4571","PERIPHERAL VASCULAR DISEASE","SCIE","72,820","23.218","Q1","3.81","14.43"%,
"National Science Review","NATL SCI REV","OXFORD UNIV PRESS","2095-5138","2053-714X","MULTIDISCIPLINARY SCIENCES","SCIE","10,508","23.178","Q1","2.84","98.76"%,
"Nature Cancer","NAT CANCER","NATURE PORTFOLIO","N/A","2662-1347","ONCOLOGY","SCIE","2,315","23.177","Q1","4.6","3.55"%,
"Journal of Hematology & Oncology","J HEMATOL ONCOL","BMC","N/A","1756-8722","HEMATOLOGY","SCIE","15,318","23.168","Q1","2.86","99.52"%,
"Journal of Hematology & Oncology","J HEMATOL ONCOL","BMC","N/A","1756-8722","ONCOLOGY","SCIE","15,318","23.168","Q1","2.86","99.52"%,
"PSYCHOLOGICAL BULLETIN","PSYCHOL BULL","AMER PSYCHOLOGICAL ASSOC","0033-2909","1939-1455","PSYCHOLOGY","SCIE","68,919","23.027","Q1","5.54","1.77"%,
"PSYCHOLOGICAL BULLETIN","PSYCHOL BULL","AMER PSYCHOLOGICAL ASSOC","0033-2909","1939-1455","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","68,919","23.027","Q1","5.54","1.77"%,
"DRUG RESISTANCE UPDATES","DRUG RESIST UPDATE","CHURCHILL LIVINGSTONE","1368-7646","1532-2084","PHARMACOLOGY & PHARMACY","SCIE","4,905","22.841","Q1","2.91","24.62"%,
"Annual Review of Entomology","ANNU REV ENTOMOL","ANNUAL REVIEWS","0066-4170","1545-4487","ENTOMOLOGY","SCIE","16,500","22.727","Q1","3.86","1.45"%,
"Trends in Chemistry","TRENDS CHEM","ELSEVIER","N/A","2589-5974","CHEMISTRY, MULTIDISCIPLINARY","SCIE","3,323","22.448","Q1","1.42","5.24"%,
"Annual Review of Physiology","ANNU REV PHYSIOL","ANNUAL REVIEWS","0066-4278","1545-1585","PHYSIOLOGY","SCIE","12,703","22.163","Q1","2.62","0"%,
"Cellular & Molecular Immunology","CELL MOL IMMUNOL","CHIN SOCIETY IMMUNOLOGY","1672-7681","2042-0226","IMMUNOLOGY","SCIE","12,328","22.1","Q1","1.63","37.82"%,
"Annual Review of Clinical Psychology","ANNU REV CLIN PSYCHO","ANNUAL REVIEWS","1548-5943","1548-5951","PSYCHOLOGY","SCIE","9,675","22.098","Q1","6.2","1.56"%,
"Annual Review of Clinical Psychology","ANNU REV CLIN PSYCHO","ANNUAL REVIEWS","1548-5943","1548-5951","PSYCHOLOGY, CLINICAL","SSCI","9,675","22.098","Q1","6.2","1.56"%,
"TRENDS IN PLANT SCIENCE","TRENDS PLANT SCI","ELSEVIER SCIENCE LONDON","1360-1385","1878-4372","PLANT SCIENCES","SCIE","32,492","22.012","Q1","1.79","18.22"%,
"Molecular Plant","MOL PLANT","CELL PRESS","1674-2052","1752-9867","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","20,242","21.949","Q1","3.71","20.54"%,
"Molecular Plant","MOL PLANT","CELL PRESS","1674-2052","1752-9867","PLANT SCIENCES","SCIE","20,242","21.949","Q1","3.71","20.54"%,
"TRENDS IN BIOTECHNOLOGY","TRENDS BIOTECHNOL","ELSEVIER SCIENCE LONDON","0167-7799","1879-3096","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","22,503","21.942","Q1","1.79","13.58"%,
"Annual Review of Public Health","ANNU REV PUBL HEALTH","ANNUAL REVIEWS","0163-7525","1545-2093","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","11,349","21.87","Q1","3.18","20"%,
"Annual Review of Public Health","ANNU REV PUBL HEALTH","ANNUAL REVIEWS","0163-7525","1545-2093","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","11,349","21.87","Q1","3.18","20"%,
"Carbon Energy","CARBON ENERGY","WILEY","N/A","2637-9368","CHEMISTRY, PHYSICAL","SCIE","1,341","21.556","Q1","1.76","89.47"%,
"Carbon Energy","CARBON ENERGY","WILEY","N/A","2637-9368","ENERGY & FUELS","SCIE","1,341","21.556","Q1","1.76","89.47"%,
"Carbon Energy","CARBON ENERGY","WILEY","N/A","2637-9368","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","1,341","21.556","Q1","1.76","89.47"%,
"Carbon Energy","CARBON ENERGY","WILEY","N/A","2637-9368","NANOSCIENCE & NANOTECHNOLOGY","SCIE","1,341","21.556","Q1","1.76","89.47"%,
"Nature Geoscience","NAT GEOSCI","NATURE PORTFOLIO","1752-0894","1752-0908","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","36,682","21.531","Q1","4.72","2.42"%,
"BEHAVIORAL AND BRAIN SCIENCES","BEHAV BRAIN SCI","CAMBRIDGE UNIV PRESS","0140-525X","1469-1825","BEHAVIORAL SCIENCES","SCIE","12,872","21.357","Q1","3.4","0"%,
"BEHAVIORAL AND BRAIN SCIENCES","BEHAV BRAIN SCI","CAMBRIDGE UNIV PRESS","0140-525X","1469-1825","NEUROSCIENCES","SCIE","12,872","21.357","Q1","3.4","0"%,
"BEHAVIORAL AND BRAIN SCIENCES","BEHAV BRAIN SCI","CAMBRIDGE UNIV PRESS","0140-525X","1469-1825","PSYCHOLOGY, BIOLOGICAL","SSCI","12,872","21.357","Q1","3.4","0"%,
"Eurosurveillance","EUROSURVEILLANCE","EUR CENTRE DIS PREVENTION & CONTROL","1025-496X","1560-7917","INFECTIOUS DISEASES","SCIE","18,833","21.286","Q1","3.02","96.72"%,
"TRENDS IN CELL BIOLOGY","TRENDS CELL BIOL","ELSEVIER SCIENCE LONDON","0962-8924","1879-3088","CELL BIOLOGY","SCIE","20,498","21.167","Q1","1.72","17.49"%,
"CLINICAL INFECTIOUS DISEASES","CLIN INFECT DIS","OXFORD UNIV PRESS INC","1058-4838","1537-6591","IMMUNOLOGY","SCIE","115,950","20.999","Q1","2.97","35.63"%,
"CLINICAL INFECTIOUS DISEASES","CLIN INFECT DIS","OXFORD UNIV PRESS INC","1058-4838","1537-6591","INFECTIOUS DISEASES","SCIE","115,950","20.999","Q1","2.97","35.63"%,
"CLINICAL INFECTIOUS DISEASES","CLIN INFECT DIS","OXFORD UNIV PRESS INC","1058-4838","1537-6591","MICROBIOLOGY","SCIE","115,950","20.999","Q1","2.97","35.63"%,
"Nature Food","NAT FOOD","NATURE PORTFOLIO","N/A","2662-1355","FOOD SCIENCE & TECHNOLOGY","SCIE","2,043","20.961","Q1","3.09","3.98"%,
"Energy Storage Materials","ENERGY STORAGE MATER","ELSEVIER","2405-8297","2405-8289","CHEMISTRY, PHYSICAL","SCIE","29,703","20.831","Q1","2.8","2.92"%,
"Energy Storage Materials","ENERGY STORAGE MATER","ELSEVIER","2405-8297","2405-8289","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","29,703","20.831","Q1","2.8","2.92"%,
"Energy Storage Materials","ENERGY STORAGE MATER","ELSEVIER","2405-8297","2405-8289","NANOSCIENCE & NANOTECHNOLOGY","SCIE","29,703","20.831","Q1","2.8","2.92"%,
"JOURNAL OF MEDICAL VIROLOGY","J MED VIROL","WILEY","0146-6615","1096-9071","VIROLOGY","SCIE","31,080","20.693","Q1","1.56","5.2"%,
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","ELSEVIER SCIENCE LONDON","0169-5347","1872-8383","ECOLOGY","SCIE","44,907","20.589","Q1","1.79","22.69"%,
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","ELSEVIER SCIENCE LONDON","0169-5347","1872-8383","EVOLUTIONARY BIOLOGY","SCIE","44,907","20.589","Q1","1.79","22.69"%,
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","ELSEVIER SCIENCE LONDON","0169-5347","1872-8383","GENETICS & HEREDITY","SCIE","44,907","20.589","Q1","1.79","22.69"%,
"Science Bulletin","SCI BULL","ELSEVIER","2095-9273","2095-9281","MULTIDISCIPLINARY SCIENCES","SCIE","13,517","20.577","Q1","2.19","8.7"%,
"PHARMACOLOGICAL REVIEWS","PHARMACOL REV","AMER SOC PHARMACOLOGY EXPERIMENTAL THERAPEUTICS","0031-6997","1521-0081","PHARMACOLOGY & PHARMACY","SCIE","15,258","20.479","Q1","3.16","42.53"%,
"Travel Medicine and Infectious Disease","TRAVEL MED INFECT DI","ELSEVIER SCI LTD","1477-8939","1873-0442","INFECTIOUS DISEASES","SCIE","5,860","20.441","Q1","2.25","24"%,
"Travel Medicine and Infectious Disease","TRAVEL MED INFECT DI","ELSEVIER SCI LTD","1477-8939","1873-0442","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","5,860","20.441","Q1","2.25","24"%,
"Light-Science & Applications","LIGHT-SCI APPL","SPRINGERNATURE","2047-7538","2047-7538","OPTICS","SCIE","14,914","20.257","Q1","4.95","100"%,
"Journal of Thoracic Oncology","J THORAC ONCOL","ELSEVIER SCIENCE INC","1556-0864","1556-1380","ONCOLOGY","SCIE","27,842","20.121","Q1","3.31","25.89"%,
"Journal of Thoracic Oncology","J THORAC ONCOL","ELSEVIER SCIENCE INC","1556-0864","1556-1380","RESPIRATORY SYSTEM","SCIE","27,842","20.121","Q1","3.31","25.89"%,
"Matter","MATTER-US","ELSEVIER","2590-2393","2590-2385","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","6,917","19.967","Q1","2.52","6.78"%,
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","WILEY-V C H VERLAG GMBH","1616-301X","1616-3028","CHEMISTRY, MULTIDISCIPLINARY","SCIE","194,635","19.924","Q1","2.66","9.18"%,
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","WILEY-V C H VERLAG GMBH","1616-301X","1616-3028","CHEMISTRY, PHYSICAL","SCIE","194,635","19.924","Q1","2.66","9.18"%,
