"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of Citable OA
"Trends in Chemistry","TRENDS CHEM","ELSEVIER","N/A","2589-5974","CHEMISTRY, MULTIDISCIPLINARY","SCIE","1,919","24.081","Q1","1.55","3.79"%,
"Science Robotics","SCI ROBOT","AMER ASSOC ADVANCEMENT SCIENCE","2470-9476","2470-9476","ROBOTICS","SCIE","4,176","23.956","Q1","6.05","0"%,
"Annual Review of Biochemistry","ANNU REV BIOCHEM","ANNUAL REVIEWS","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","24,394","23.643","Q1","3.2","0.98"%,
"BLOOD","BLOOD","AMER SOC HEMATOLOGY","0006-4971","1528-0020","HEMATOLOGY","SCIE","200,028","23.629","Q1","3.22","1.07"%,
"Annual Review of Pathology-Mechanisms of Disease","ANNU REV PATHOL-MECH","ANNUAL REVIEWS","1553-4006","1553-4014","PATHOLOGY","SCIE","6,875","23.472","Q1","4.38","0"%,
"ACS Energy Letters","ACS ENERGY LETT","AMER CHEMICAL SOC","2380-8195","2380-8195","CHEMISTRY, PHYSICAL","SCIE","30,194","23.101","Q1","3.19","10.54"%,
"ACS Energy Letters","ACS ENERGY LETT","AMER CHEMICAL SOC","2380-8195","2380-8195","ELECTROCHEMISTRY","SCIE","30,194","23.101","Q1","3.19","10.54"%,
"ACS Energy Letters","ACS ENERGY LETT","AMER CHEMICAL SOC","2380-8195","2380-8195","ENERGY & FUELS","SCIE","30,194","23.101","Q1","3.19","10.54"%,
"ACS Energy Letters","ACS ENERGY LETT","AMER CHEMICAL SOC","2380-8195","2380-8195","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","30,194","23.101","Q1","3.19","10.54"%,
"ACS Energy Letters","ACS ENERGY LETT","AMER CHEMICAL SOC","2380-8195","2380-8195","NANOSCIENCE & NANOTECHNOLOGY","SCIE","30,194","23.101","Q1","3.19","10.54"%,
"GUT","GUT","BMJ PUBLISHING GROUP","0017-5749","1468-3288","GASTROENTEROLOGY & HEPATOLOGY","SCIE","58,320","23.059","Q1","4.83","40.79"%,
"Chem","CHEM-US","CELL PRESS","2451-9294","2451-9294","CHEMISTRY, MULTIDISCIPLINARY","SCIE","12,491","22.804","Q1","2.93","3.61"%,
"GASTROENTEROLOGY","GASTROENTEROLOGY","W B SAUNDERS CO-ELSEVIER INC","0016-5085","1528-0012","GASTROENTEROLOGY & HEPATOLOGY","SCIE","94,872","22.682","Q1","3.91","16.93"%,
"ACCOUNTS OF CHEMICAL RESEARCH","ACCOUNTS CHEM RES","AMER CHEMICAL SOC","0001-4842","1520-4898","CHEMISTRY, MULTIDISCIPLINARY","SCIE","82,124","22.384","Q1","1.28","7.98"%,
"COORDINATION CHEMISTRY REVIEWS","COORDIN CHEM REV","ELSEVIER SCIENCE SA","0010-8545","1873-3840","CHEMISTRY, INORGANIC & NUCLEAR","SCIE","43,025","22.315","Q1","1.84","1.71"%,
"REVIEWS OF GEOPHYSICS","REV GEOPHYS","AMER GEOPHYSICAL UNION","8755-1209","1944-9208","GEOCHEMISTRY & GEOPHYSICS","SCIE","14,864","22","Q1","2.24","51.32"%,
"Annual Review of Public Health","ANNU REV PUBL HEALTH","ANNUAL REVIEWS","0163-7525","1545-2093","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","9,927","21.981","Q1","3.47","66.27"%,
"Annual Review of Public Health","ANNU REV PUBL HEALTH","ANNUAL REVIEWS","0163-7525","1545-2093","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","9,927","21.981","Q1","3.47","66.27"%,
"JAMA Internal Medicine","JAMA INTERN MED","AMER MEDICAL ASSOC","2168-6106","2168-6114","MEDICINE, GENERAL & INTERNAL","SCIE","25,005","21.873","Q1","5.21","8.6"%,
"Lancet Public Health","LANCET PUBLIC HEALTH","ELSEVIER SCI LTD","2468-2667","2468-2667","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","5,793","21.648","Q1","5.48","100"%,
"Lancet Public Health","LANCET PUBLIC HEALTH","ELSEVIER SCI LTD","2468-2667","2468-2667","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","5,793","21.648","Q1","5.48","100"%,
"JAMA Psychiatry","JAMA PSYCHIAT","AMER MEDICAL ASSOC","2168-622X","2168-6238","PSYCHIATRY","SCIE","19,105","21.596","Q1","5.16","15.95"%,
"JAMA Psychiatry","JAMA PSYCHIAT","AMER MEDICAL ASSOC","2168-622X","2168-6238","PSYCHIATRY","SSCI","19,105","21.596","Q1","5.16","15.95"%,
"Alzheimers & Dementia","ALZHEIMERS DEMENT","WILEY","1552-5260","1552-5279","CLINICAL NEUROLOGY","SCIE","21,824","21.566","Q1","3.87","31.62"%,
"AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","AM J RESP CRIT CARE","AMER THORACIC SOC","1073-449X","1535-4970","CRITICAL CARE MEDICINE","SCIE","76,608","21.405","Q1","4.09","11.41"%,
"AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","AM J RESP CRIT CARE","AMER THORACIC SOC","1073-449X","1535-4970","RESPIRATORY SYSTEM","SCIE","76,608","21.405","Q1","4.09","11.41"%,
"PROGRESS IN RETINAL AND EYE RESEARCH","PROG RETIN EYE RES","PERGAMON-ELSEVIER SCIENCE LTD","1350-9462","1873-1635","OPHTHALMOLOGY","SCIE","9,869","21.198","Q1","5","23.81"%,
"Cell Host & Microbe","CELL HOST MICROBE","CELL PRESS","1931-3128","1934-6069","MICROBIOLOGY","SCIE","28,716","21.023","Q1","4.57","11.25"%,
"Cell Host & Microbe","CELL HOST MICROBE","CELL PRESS","1931-3128","1934-6069","PARASITOLOGY","SCIE","28,716","21.023","Q1","4.57","11.25"%,
"Cell Host & Microbe","CELL HOST MICROBE","CELL PRESS","1931-3128","1934-6069","VIROLOGY","SCIE","28,716","21.023","Q1","4.57","11.25"%,
"TRENDS IN CELL BIOLOGY","TRENDS CELL BIOL","ELSEVIER SCIENCE LONDON","0962-8924","1879-3088","CELL BIOLOGY","SCIE","19,007","20.808","Q1","1.71","12.39"%,
"Nano Today","NANO TODAY","ELSEVIER SCI LTD","1748-0132","1878-044X","CHEMISTRY, MULTIDISCIPLINARY","SCIE","10,434","20.722","Q1","1.26","5.19"%,
"Nano Today","NANO TODAY","ELSEVIER SCI LTD","1748-0132","1878-044X","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","10,434","20.722","Q1","1.26","5.19"%,
"Nano Today","NANO TODAY","ELSEVIER SCI LTD","1748-0132","1878-044X","NANOSCIENCE & NANOTECHNOLOGY","SCIE","10,434","20.722","Q1","1.26","5.19"%,
"International Review of Sport and Exercise Psychology","INT REV SPORT EXER P","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1750-984X","1750-9858","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","1,692","20.652","Q1","4.92","4.76"%,
"International Review of Sport and Exercise Psychology","INT REV SPORT EXER P","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1750-984X","1750-9858","PSYCHOLOGY, APPLIED","SSCI","1,692","20.652","Q1","4.92","4.76"%,
"Nature Reviews Rheumatology","NAT REV RHEUMATOL","NATURE RESEARCH","1759-4790","1759-4804","RHEUMATOLOGY","SCIE","12,069","20.543","Q1","2.94","0"%,
"FUNGAL DIVERSITY","FUNGAL DIVERS","SPRINGER","1560-2745","1878-9129","MYCOLOGY","SCIE","5,535","20.372","Q1","6.32","35.38"%,
"TRENDS IN COGNITIVE SCIENCES","TRENDS COGN SCI","ELSEVIER SCIENCE LONDON","1364-6613","1879-307X","BEHAVIORAL SCIENCES","SCIE","33,482","20.229","Q1","2.12","21.15"%,
"TRENDS IN COGNITIVE SCIENCES","TRENDS COGN SCI","ELSEVIER SCIENCE LONDON","1364-6613","1879-307X","NEUROSCIENCES","SCIE","33,482","20.229","Q1","2.12","21.15"%,
"TRENDS IN COGNITIVE SCIENCES","TRENDS COGN SCI","ELSEVIER SCIENCE LONDON","1364-6613","1879-307X","PSYCHOLOGY, EXPERIMENTAL","SSCI","33,482","20.229","Q1","2.12","21.15"%,
"CATALYSIS REVIEWS-SCIENCE AND ENGINEERING","CATAL REV","TAYLOR & FRANCIS INC","0161-4940","1520-5703","CHEMISTRY, PHYSICAL","SCIE","4,133","20.217","Q1","0.85","1.82"%,
"Advances in Optics and Photonics","ADV OPT PHOTONICS","OPTICAL SOC AMER","1943-8206","N/A","OPTICS","SCIE","3,117","20.107","Q1","2.78","13.95"%,
"EUROPEAN UROLOGY","EUR UROL","ELSEVIER","0302-2838","1873-7560","UROLOGY & NEPHROLOGY","SCIE","42,109","20.096","Q1","6.39","13.37"%,
"Nature Physics","NAT PHYS","NATURE RESEARCH","1745-2473","1745-2481","PHYSICS, MULTIDISCIPLINARY","SCIE","44,499","20.034","Q1","6.16","1.33"%,
"ENDOCRINE REVIEWS","ENDOCR REV","ENDOCRINE SOC","0163-769X","1945-7189","ENDOCRINOLOGY & METABOLISM","SCIE","17,084","19.871","Q1","2.51","27.78"%,
"Annual Review of Entomology","ANNU REV ENTOMOL","ANNUAL REVIEWS","0066-4170","1545-4487","ENTOMOLOGY","SCIE","16,059","19.686","Q1","3.13","0"%,
"INTERNATIONAL MATERIALS REVIEWS","INT MATER REV","TAYLOR & FRANCIS LTD","0950-6608","1743-2804","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","7,219","19.559","Q1","1.1","12.86"%,
"TRENDS IN BIOTECHNOLOGY","TRENDS BIOTECHNOL","ELSEVIER SCIENCE LONDON","0167-7799","1879-3096","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","20,693","19.536","Q1","1.72","8.7"%,
"APPLIED CATALYSIS B-ENVIRONMENTAL","APPL CATAL B-ENVIRON","ELSEVIER","0926-3373","1873-3883","CHEMISTRY, PHYSICAL","SCIE","123,618","19.503","Q1","3.04","2.5"%,
"APPLIED CATALYSIS B-ENVIRONMENTAL","APPL CATAL B-ENVIRON","ELSEVIER","0926-3373","1873-3883","ENGINEERING, CHEMICAL","SCIE","123,618","19.503","Q1","3.04","2.5"%,
"APPLIED CATALYSIS B-ENVIRONMENTAL","APPL CATAL B-ENVIRON","ELSEVIER","0926-3373","1873-3883","ENGINEERING, ENVIRONMENTAL","SCIE","123,618","19.503","Q1","3.04","2.5"%,
"Nature Sustainability","NAT SUSTAIN","NATURE RESEARCH","2398-9629","2398-9629","ENVIRONMENTAL SCIENCES","SCIE","4,664","19.346","Q1","3.22","3.01"%,
"Nature Sustainability","NAT SUSTAIN","NATURE RESEARCH","2398-9629","2398-9629","ENVIRONMENTAL STUDIES","SSCI","4,664","19.346","Q1","3.22","3.01"%,
"Nature Sustainability","NAT SUSTAIN","NATURE RESEARCH","2398-9629","2398-9629","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SSCI","4,664","19.346","Q1","3.22","3.01"%,
"Annual Review of Physiology","ANNU REV PHYSIOL","ANNUAL REVIEWS","0066-4278","1545-1585","PHYSIOLOGY","SCIE","11,515","19.318","Q1","2.64","0"%,
"Lancet Planetary Health","LANCET PLANET HEALTH","ELSEVIER SCI LTD","2542-5196","2542-5196","ENVIRONMENTAL SCIENCES","SCIE","2,540","19.173","Q1","3.87","96.58"%,
"Lancet Planetary Health","LANCET PLANET HEALTH","ELSEVIER SCI LTD","2542-5196","2542-5196","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","2,540","19.173","Q1","3.87","96.58"%,
"Lancet Planetary Health","LANCET PLANET HEALTH","ELSEVIER SCI LTD","2542-5196","2542-5196","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","2,540","19.173","Q1","3.87","96.58"%,
"Applied Physics Reviews","APPL PHYS REV","AMER INST PHYSICS","1931-9401","1931-9401","PHYSICS, APPLIED","SCIE","5,353","19.162","Q1","1.16","25.25"%,
"DIABETES CARE","DIABETES CARE","AMER DIABETES ASSOC","0149-5992","1935-5548","ENDOCRINOLOGY & METABOLISM","SCIE","86,001","19.112","Q1","3.63","0.1"%,
"ANNALS OF THE RHEUMATIC DISEASES","ANN RHEUM DIS","BMJ PUBLISHING GROUP","0003-4967","1468-2060","RHEUMATOLOGY","SCIE","58,006","19.103","Q1","3.82","32.66"%,
"Lancet Haematology","LANCET HAEMATOL","ELSEVIER SCI LTD","2352-3026","N/A","HEMATOLOGY","SCIE","5,140","18.959","Q1","3.46","6.63"%,
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","WILEY-V C H VERLAG GMBH","1616-301X","1616-3028","CHEMISTRY, MULTIDISCIPLINARY","SCIE","151,020","18.808","Q1","2.94","8.21"%,
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","WILEY-V C H VERLAG GMBH","1616-301X","1616-3028","CHEMISTRY, PHYSICAL","SCIE","151,020","18.808","Q1","2.94","8.21"%,
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","WILEY-V C H VERLAG GMBH","1616-301X","1616-3028","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","151,020","18.808","Q1","2.94","8.21"%,
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","WILEY-V C H VERLAG GMBH","1616-301X","1616-3028","NANOSCIENCE & NANOTECHNOLOGY","SCIE","151,020","18.808","Q1","2.94","8.21"%,
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","WILEY-V C H VERLAG GMBH","1616-301X","1616-3028","PHYSICS, APPLIED","SCIE","151,020","18.808","Q1","2.94","8.21"%,
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","WILEY-V C H VERLAG GMBH","1616-301X","1616-3028","PHYSICS, CONDENSED MATTER","SCIE","151,020","18.808","Q1","2.94","8.21"%,
"Annual Review of Clinical Psychology","ANNU REV CLIN PSYCHO","ANNUAL REVIEWS","1548-5943","1548-5951","PSYCHOLOGY","SCIE","8,484","18.561","Q1","6.04","1.69"%,
"Annual Review of Clinical Psychology","ANNU REV CLIN PSYCHO","ANNUAL REVIEWS","1548-5943","1548-5951","PSYCHOLOGY, CLINICAL","SSCI","8,484","18.561","Q1","6.04","1.69"%,
"Annual Review of Fluid Mechanics","ANNU REV FLUID MECH","ANNUAL REVIEWS","0066-4189","1545-4479","MECHANICS","SCIE","14,688","18.511","Q1","1.91","2.99"%,
"Annual Review of Fluid Mechanics","ANNU REV FLUID MECH","ANNUAL REVIEWS","0066-4189","1545-4479","PHYSICS, FLUIDS & PLASMAS","SCIE","14,688","18.511","Q1","1.91","2.99"%,
"DRUG RESISTANCE UPDATES","DRUG RESIST UPDATE","CHURCHILL LIVINGSTONE","1368-7646","1532-2084","PHARMACOLOGY & PHARMACY","SCIE","4,315","18.5","Q1","2.14","19.67"%,
"Lancet Gastroenterology & Hepatology","LANCET GASTROENTEROL","ELSEVIER INC","N/A","2468-1253","GASTROENTEROLOGY & HEPATOLOGY","SCIE","7,075","18.486","Q1","3.34","10"%,
"PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW","PERS SOC PSYCHOL REV","SAGE PUBLICATIONS INC","1088-8683","1532-7957","PSYCHOLOGY, SOCIAL","SSCI","9,303","18.464","Q1","4.66","13.04"%,
"Annual Review of Organizational Psychology and Organizational Behavior","ANNU REV ORGAN PSYCH","ANNUAL REVIEWS","2327-0608","2327-0616","MANAGEMENT","SSCI","2,947","18.333","Q1","4.32","0"%,
"Annual Review of Organizational Psychology and Organizational Behavior","ANNU REV ORGAN PSYCH","ANNUAL REVIEWS","2327-0608","2327-0616","PSYCHOLOGY, APPLIED","SSCI","2,947","18.333","Q1","4.32","0"%,
"TRENDS IN PLANT SCIENCE","TRENDS PLANT SCI","ELSEVIER SCIENCE LONDON","1360-1385","1878-4372","PLANT SCIENCES","SCIE","29,531","18.313","Q1","1.77","14.46"%,
"JAMA Neurology","JAMA NEUROL","AMER MEDICAL ASSOC","2168-6149","2168-6157","CLINICAL NEUROLOGY","SCIE","17,086","18.302","Q1","4.36","13.13"%,
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","SPRINGERNATURE","2095-9907","2059-3635","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","3,848","18.187","Q1","1.85","100"%,
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","SPRINGERNATURE","2095-9907","2059-3635","CELL BIOLOGY","SCIE","3,848","18.187","Q1","1.85","100"%,
"AMERICAN JOURNAL OF PSYCHIATRY","AM J PSYCHIAT","AMER PSYCHIATRIC PUBLISHING, INC","0002-953X","1535-7228","PSYCHIATRY","SCIE","48,212","18.112","Q1","4.46","0"%,
"AMERICAN JOURNAL OF PSYCHIATRY","AM J PSYCHIAT","AMER PSYCHIATRIC PUBLISHING, INC","0002-953X","1535-7228","PSYCHIATRY","SSCI","48,212","18.112","Q1","4.46","0"%,
"Science Translational Medicine","SCI TRANSL MED","AMER ASSOC ADVANCEMENT SCIENCE","1946-6234","1946-6242","CELL BIOLOGY","SCIE","45,509","17.992","Q1","4.05","3.4"%,
"Science Translational Medicine","SCI TRANSL MED","AMER ASSOC ADVANCEMENT SCIENCE","1946-6234","1946-6242","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","45,509","17.992","Q1","4.05","3.4"%,
"MOLECULAR CELL","MOL CELL","CELL PRESS","1097-2765","1097-4164","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","86,299","17.97","Q1","3.2","15.81"%,
"MOLECULAR CELL","MOL CELL","CELL PRESS","1097-2765","1097-4164","CELL BIOLOGY","SCIE","86,299","17.97","Q1","3.2","15.81"%,
"Nano Energy","NANO ENERGY","ELSEVIER","2211-2855","2211-3282","CHEMISTRY, PHYSICAL","SCIE","74,385","17.881","Q1","3.02","2.13"%,
"Nano Energy","NANO ENERGY","ELSEVIER","2211-2855","2211-3282","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","74,385","17.881","Q1","3.02","2.13"%,
"Nano Energy","NANO ENERGY","ELSEVIER","2211-2855","2211-3282","NANOSCIENCE & NANOTECHNOLOGY","SCIE","74,385","17.881","Q1","3.02","2.13"%,
"Nano Energy","NANO ENERGY","ELSEVIER","2211-2855","2211-3282","PHYSICS, APPLIED","SCIE","74,385","17.881","Q1","3.02","2.13"%,
"Energy Storage Materials","ENERGY STORAGE MATER","ELSEVIER","2405-8297","2405-8289","CHEMISTRY, PHYSICAL","SCIE","17,077","17.789","Q1","2.65","1.66"%,
"Energy Storage Materials","ENERGY STORAGE MATER","ELSEVIER","2405-8297","2405-8289","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","17,077","17.789","Q1","2.65","1.66"%,
"Energy Storage Materials","ENERGY STORAGE MATER","ELSEVIER","2405-8297","2405-8289","NANOSCIENCE & NANOTECHNOLOGY","SCIE","17,077","17.789","Q1","2.65","1.66"%,
"Light-Science & Applications","LIGHT-SCI APPL","SPRINGERNATURE","2047-7538","2047-7538","OPTICS","SCIE","11,228","17.782","Q1","4.98","100"%,
"Nature Microbiology","NAT MICROBIOL","NATURE RESEARCH","2058-5276","2058-5276","MICROBIOLOGY","SCIE","15,714","17.745","Q1","4.36","5.23"%,
"PSYCHOLOGICAL BULLETIN","PSYCHOL BULL","AMER PSYCHOLOGICAL ASSOC","0033-2909","1939-1455","PSYCHOLOGY","SCIE","66,721","17.737","Q1","6.28","7.08"%,
"PSYCHOLOGICAL BULLETIN","PSYCHOL BULL","AMER PSYCHOLOGICAL ASSOC","0033-2909","1939-1455","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","66,721","17.737","Q1","6.28","7.08"%,
"Science Immunology","SCI IMMUNOL","AMER ASSOC ADVANCEMENT SCIENCE","2470-9468","2470-9468","IMMUNOLOGY","SCIE","5,232","17.727","Q1","3.43","6.5"%,
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","ELSEVIER SCIENCE LONDON","0169-5347","1872-8383","ECOLOGY","SCIE","44,128","17.712","Q1","1.73","20"%,
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","ELSEVIER SCIENCE LONDON","0169-5347","1872-8383","EVOLUTIONARY BIOLOGY","SCIE","44,128","17.712","Q1","1.73","20"%,
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","ELSEVIER SCIENCE LONDON","0169-5347","1872-8383","GENETICS & HEREDITY","SCIE","44,128","17.712","Q1","1.73","20"%,
"PSYCHOTHERAPY AND PSYCHOSOMATICS","PSYCHOTHER PSYCHOSOM","KARGER","0033-3190","1423-0348","PSYCHIATRY","SSCI","6,123","17.659","Q1","2.81","19.75"%,
"PSYCHOTHERAPY AND PSYCHOSOMATICS","PSYCHOTHER PSYCHOSOM","KARGER","0033-3190","1423-0348","PSYCHIATRY","SCIE","6,123","17.659","Q1","2.81","19.75"%,
"PSYCHOTHERAPY AND PSYCHOSOMATICS","PSYCHOTHER PSYCHOSOM","KARGER","0033-3190","1423-0348","PSYCHOLOGY","SCIE","6,123","17.659","Q1","2.81","19.75"%,
"MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT","MMWR-MORBID MORTAL W","CENTERS DISEASE CONTROL & PREVENTION","0149-2195","1545-861X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","31,129","17.586","Q1","5.13","64.21"%,
"INTENSIVE CARE MEDICINE","INTENS CARE MED","SPRINGER","0342-4642","1432-1238","CRITICAL CARE MEDICINE","SCIE","33,511","17.44","Q1","3.08","21.17"%,
"HEPATOLOGY","HEPATOLOGY","WILEY","0270-9139","1527-3350","GASTROENTEROLOGY & HEPATOLOGY","SCIE","78,048","17.425","Q1","3.22","16.35"%,
"Living Reviews in Solar Physics","LIVING REV SOL PHYS","SPRINGER INTERNATIONAL PUBLISHING AG","2367-3648","1614-4961","ASTRONOMY & ASTROPHYSICS","SCIE","1,640","17.417","Q1","2.08","100"%,
"Journal of Hematology & Oncology","J HEMATOL ONCOL","BMC","N/A","1756-8722","HEMATOLOGY","SCIE","10,615","17.388","Q1","2.41","99.5"%,
"Journal of Hematology & Oncology","J HEMATOL ONCOL","BMC","N/A","1756-8722","ONCOLOGY","SCIE","10,615","17.388","Q1","2.41","99.5"%,
"CIRCULATION RESEARCH","CIRC RES","LIPPINCOTT WILLIAMS & WILKINS","0009-7330","1524-4571","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","65,426","17.367","Q1","3.54","12.98"%,
"CIRCULATION RESEARCH","CIRC RES","LIPPINCOTT WILLIAMS & WILKINS","0009-7330","1524-4571","HEMATOLOGY","SCIE","65,426","17.367","Q1","3.54","12.98"%,
"CIRCULATION RESEARCH","CIRC RES","LIPPINCOTT WILLIAMS & WILKINS","0009-7330","1524-4571","PERIPHERAL VASCULAR DISEASE","SCIE","65,426","17.367","Q1","3.54","12.98"%,
"National Science Review","NATL SCI REV","OXFORD UNIV PRESS","2095-5138","2053-714X","MULTIDISCIPLINARY SCIENCES","SCIE","5,889","17.275","Q1","1.81","97.46"%,
"REPORTS ON PROGRESS IN PHYSICS","REP PROG PHYS","IOP PUBLISHING LTD","0034-4885","1361-6633","PHYSICS, MULTIDISCIPLINARY","SCIE","20,866","17.264","Q1","2.11","1.2"%,
"NEURON","NEURON","CELL PRESS","0896-6273","1097-4199","NEUROSCIENCES","SCIE","111,116","17.173","Q1","3.61","10.98"%,
"BASIC RESEARCH IN CARDIOLOGY","BASIC RES CARDIOL","SPRINGER HEIDELBERG","0300-8428","1435-1803","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","5,630","17.165","Q1","2.85","39.62"%,
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","SPRINGER","0001-6322","1432-0533","CLINICAL NEUROLOGY","SCIE","28,031","17.088","Q1","4.12","51.42"%,
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","SPRINGER","0001-6322","1432-0533","NEUROSCIENCES","SCIE","28,031","17.088","Q1","4.12","51.42"%,
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","SPRINGER","0001-6322","1432-0533","PATHOLOGY","SCIE","28,031","17.088","Q1","4.12","51.42"%,
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","ELSEVIER SCI LTD","0966-842X","1878-4380","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","17,553","17.079","Q1","1.63","17.98"%,
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","ELSEVIER SCI LTD","0966-842X","1878-4380","MICROBIOLOGY","SCIE","17,553","17.079","Q1","1.63","17.98"%,
"NUCLEIC ACIDS RESEARCH","NUCLEIC ACIDS RES","OXFORD UNIV PRESS","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","248,139","16.971","Q1","3.22","99.87"%,
"Nature Geoscience","NAT GEOSCI","NATURE RESEARCH","1752-0894","1752-0908","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","31,641","16.908","Q1","4.46","0"%,
"Annual Review of Genetics","ANNU REV GENET","ANNUAL REVIEWS","0066-4197","1545-2948","GENETICS & HEREDITY","SCIE","9,053","16.83","Q1","1.52","0"%,
"Advanced Science","ADV SCI","WILEY","N/A","2198-3844","CHEMISTRY, MULTIDISCIPLINARY","SCIE","27,067","16.806","Q1","2.42","99.71"%,
"Advanced Science","ADV SCI","WILEY","N/A","2198-3844","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","27,067","16.806","Q1","2.42","99.71"%,
"Advanced Science","ADV SCI","WILEY","N/A","2198-3844","NANOSCIENCE & NANOTECHNOLOGY","SCIE","27,067","16.806","Q1","2.42","99.71"%,
"TRENDS IN IMMUNOLOGY","TRENDS IMMUNOL","ELSEVIER SCI LTD","1471-4906","1471-4981","IMMUNOLOGY","SCIE","16,915","16.687","Q1","1.71","11.76"%,
"EUROPEAN RESPIRATORY JOURNAL","EUR RESPIR J","EUROPEAN RESPIRATORY SOC JOURNALS LTD","0903-1936","1399-3003","RESPIRATORY SYSTEM","SCIE","53,361","16.671","Q1","2.97","19.95"%,
"Academy of Management Annals","ACAD MANAG ANN","ACAD MANAGEMENT","1941-6520","1941-6067","BUSINESS","SSCI","6,851","16.438","Q1","4.13","0"%,
"Academy of Management Annals","ACAD MANAG ANN","ACAD MANAGEMENT","1941-6520","1941-6067","MANAGEMENT","SSCI","6,851","16.438","Q1","4.13","0"%,
"Nano-Micro Letters","NANO-MICRO LETT","SHANGHAI JIAO TONG UNIV PRESS","2311-6706","2150-5551","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","5,972","16.419","Q1","2.12","99.74"%,
"Nano-Micro Letters","NANO-MICRO LETT","SHANGHAI JIAO TONG UNIV PRESS","2311-6706","2150-5551","NANOSCIENCE & NANOTECHNOLOGY","SCIE","5,972","16.419","Q1","2.12","99.74"%,
"Nano-Micro Letters","NANO-MICRO LETT","SHANGHAI JIAO TONG UNIV PRESS","2311-6706","2150-5551","PHYSICS, APPLIED","SCIE","5,972","16.419","Q1","2.12","99.74"%,
"FEMS MICROBIOLOGY REVIEWS","FEMS MICROBIOL REV","OXFORD UNIV PRESS","0168-6445","1574-6976","MICROBIOLOGY","SCIE","16,279","16.408","Q1","1.77","41.8"%,
