Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
SPORTS MEDICINE,SPORTS MED,ADIS INT LTD,0112-1642,1179-2035,SPORT SCIENCES,SCIE,"25,758",9.3,Q1,2.25,48.05%
Energy Policy,ENERG POLICY,ELSEVIER SCI LTD,0301-4215,1873-6777,ECONOMICS,SSCI,"67,215",9.3,Q1,2,26%
Energy Policy,ENERG POLICY,ELSEVIER SCI LTD,0301-4215,1873-6777,ENERGY & FUELS,SCIE,"67,215",9.3,Q1,2,26%
Energy Policy,ENERG POLICY,ELSEVIER SCI LTD,0301-4215,1873-6777,ENVIRONMENTAL SCIENCES,SCIE,"67,215",9.3,Q1,2,26%
Energy Policy,ENERG POLICY,ELSEVIER SCI LTD,0301-4215,1873-6777,ENVIRONMENTAL STUDIES,SSCI,"67,215",9.3,Q1,2,26%
Journal of Neuroinflammation,J NEUROINFLAMM,BMC,N/A,1742-2094,IMMUNOLOGY,SCIE,"26,924",9.3,Q1,1.93,100%
Journal of Neuroinflammation,J NEUROINFLAMM,BMC,N/A,1742-2094,NEUROSCIENCES,SCIE,"26,924",9.3,Q1,1.93,100%
Current Opinion in Green and Sustainable Chemistry,CURR OPIN GREEN SUST,ELSEVIER,2452-2236,2452-2236,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,"5,405",9.3,Q1,1.34,20.38%
Current Opinion in Green and Sustainable Chemistry,CURR OPIN GREEN SUST,ELSEVIER,2452-2236,2452-2236,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"5,405",9.3,Q1,1.34,20.38%
CYTOKINE & GROWTH FACTOR REVIEWS,CYTOKINE GROWTH F R,ELSEVIER SCI LTD,1359-6101,1879-0305,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"7,900",9.3,Q1,1.34,19.23%
CYTOKINE & GROWTH FACTOR REVIEWS,CYTOKINE GROWTH F R,ELSEVIER SCI LTD,1359-6101,1879-0305,CELL BIOLOGY,SCIE,"7,900",9.3,Q1,1.34,19.23%
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,J AM ACAD CHILD PSY,ELSEVIER SCIENCE INC,0890-8567,1527-5418,PEDIATRICS,SCIE,"20,121",9.2,Q1,3.33,25.91%
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,J AM ACAD CHILD PSY,ELSEVIER SCIENCE INC,0890-8567,1527-5418,PSYCHIATRY,"SCIE, SSCI","20,121",9.2,Q1,3.33,25.91%
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,J AM ACAD CHILD PSY,ELSEVIER SCIENCE INC,0890-8567,1527-5418,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"20,121",9.2,Q1,3.33,25.91%
ANGIOGENESIS,ANGIOGENESIS,SPRINGER,0969-6970,1573-7209,PERIPHERAL VASCULAR DISEASE,SCIE,"4,736",9.2,Q1,2,57.41%
CELLULAR & MOLECULAR BIOLOGY LETTERS,CELL MOL BIOL LETT,BMC,1425-8153,1689-1392,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"4,030",9.2,Q1,1.48,100%
CELLULAR & MOLECULAR BIOLOGY LETTERS,CELL MOL BIOL LETT,BMC,1425-8153,1689-1392,CELL BIOLOGY,SCIE,"4,030",9.2,Q1,1.48,100%
AUTOIMMUNITY REVIEWS,AUTOIMMUN REV,ELSEVIER,1568-9972,1873-0183,IMMUNOLOGY,SCIE,"13,270",9.2,Q1,1.32,19.73%
BRITISH JOURNAL OF ANAESTHESIA,BRIT J ANAESTH,ELSEVIER SCI LTD,0007-0912,1471-6771,ANESTHESIOLOGY,SCIE,"27,771",9.1,Q1,2.78,30.64%
LEADERSHIP QUARTERLY,LEADERSHIP QUART,ELSEVIER SCIENCE INC,1048-9843,1873-3409,MANAGEMENT,SSCI,"13,479",9.1,Q1,2.29,9.63%
LEADERSHIP QUARTERLY,LEADERSHIP QUART,ELSEVIER SCIENCE INC,1048-9843,1873-3409,"PSYCHOLOGY, APPLIED",SSCI,"13,479",9.1,Q1,2.29,9.63%
PHARMACOLOGICAL RESEARCH,PHARMACOL RES,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,1043-6618,1096-1186,PHARMACOLOGY & PHARMACY,SCIE,"31,066",9.1,Q1,2.12,37.17%
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,ROBOT CIM-INT MANUF,PERGAMON-ELSEVIER SCIENCE LTD,0736-5845,1879-2537,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"10,510",9.1,Q1,2.06,12.71%
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,ROBOT CIM-INT MANUF,PERGAMON-ELSEVIER SCIENCE LTD,0736-5845,1879-2537,"ENGINEERING, MANUFACTURING",SCIE,"10,510",9.1,Q1,2.06,12.71%
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,ROBOT CIM-INT MANUF,PERGAMON-ELSEVIER SCIENCE LTD,0736-5845,1879-2537,ROBOTICS,SCIE,"10,510",9.1,Q1,2.06,12.71%
npj Urban Sustainability,NPJ URBAN SUSTAIN,SPRINGERNATURE,N/A,2661-8001,ENVIRONMENTAL STUDIES,ESCI,668,9.1,Q1,2.05,100%
npj Urban Sustainability,NPJ URBAN SUSTAIN,SPRINGERNATURE,N/A,2661-8001,URBAN STUDIES,ESCI,668,9.1,Q1,2.05,100%
CANCER LETTERS,CANCER LETT,ELSEVIER IRELAND LTD,0304-3835,1872-7980,ONCOLOGY,SCIE,"40,125",9.1,Q1,1.99,21.55%
SPACE SCIENCE REVIEWS,SPACE SCI REV,SPRINGER,0038-6308,1572-9672,ASTRONOMY & ASTROPHYSICS,SCIE,"16,646",9.1,Q1,1.2,74.11%
PROGRESS IN SOLID STATE CHEMISTRY,PROG SOLID STATE CH,PERGAMON-ELSEVIER SCIENCE LTD,0079-6786,1873-1643,"CHEMISTRY, INORGANIC & NUCLEAR",SCIE,"2,289",9.1,Q1,0.71,2.86%
COMPUTERS IN HUMAN BEHAVIOR,COMPUT HUM BEHAV,PERGAMON-ELSEVIER SCIENCE LTD,0747-5632,1873-7692,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"52,261",9,Q1,2.92,24.24%
COMPUTERS IN HUMAN BEHAVIOR,COMPUT HUM BEHAV,PERGAMON-ELSEVIER SCIENCE LTD,0747-5632,1873-7692,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"52,261",9,Q1,2.92,24.24%
Satellite Navigation,SATELLITE NAVIG,SPRINGERNATURE,2662-9291,2662-1363,"ENGINEERING, AEROSPACE",SCIE,834,9,Q1,2.1,100%
Satellite Navigation,SATELLITE NAVIG,SPRINGERNATURE,2662-9291,2662-1363,REMOTE SENSING,SCIE,834,9,Q1,2.1,100%
Satellite Navigation,SATELLITE NAVIG,SPRINGERNATURE,2662-9291,2662-1363,TELECOMMUNICATIONS,SCIE,834,9,Q1,2.1,100%
Energy,ENERGY,PERGAMON-ELSEVIER SCIENCE LTD,0360-5442,1873-6785,ENERGY & FUELS,SCIE,"171,664",9,Q1,1.59,7.89%
Energy,ENERGY,PERGAMON-ELSEVIER SCIENCE LTD,0360-5442,1873-6785,THERMODYNAMICS,SCIE,"171,664",9,Q1,1.59,7.89%
Cell Systems,CELL SYST,CELL PRESS,2405-4712,2405-4720,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"9,278",9,Q1,1.58,40.18%
Cell Systems,CELL SYST,CELL PRESS,2405-4712,2405-4720,CELL BIOLOGY,SCIE,"9,278",9,Q1,1.58,40.18%
Renewable Energy,RENEW ENERG,PERGAMON-ELSEVIER SCIENCE LTD,0960-1481,1879-0682,ENERGY & FUELS,SCIE,"109,539",9,Q1,1.49,11.54%
Renewable Energy,RENEW ENERG,PERGAMON-ELSEVIER SCIENCE LTD,0960-1481,1879-0682,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"109,539",9,Q1,1.49,11.54%
JOURNAL OF BIOMEDICAL SCIENCE,J BIOMED SCI,BMC,1021-7770,1423-0127,CELL BIOLOGY,SCIE,"9,109",9,Q1,1.42,99.29%
JOURNAL OF BIOMEDICAL SCIENCE,J BIOMED SCI,BMC,1021-7770,1423-0127,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"9,109",9,Q1,1.42,99.29%
Materials Today Energy,MATER TODAY ENERGY,ELSEVIER SCI LTD,2468-6069,2468-6069,"CHEMISTRY, PHYSICAL",SCIE,"9,890",9,Q1,1.42,5.60%
Materials Today Energy,MATER TODAY ENERGY,ELSEVIER SCI LTD,2468-6069,2468-6069,ENERGY & FUELS,SCIE,"9,890",9,Q1,1.42,5.60%
Materials Today Energy,MATER TODAY ENERGY,ELSEVIER SCI LTD,2468-6069,2468-6069,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"9,890",9,Q1,1.42,5.60%
COMPUTERS & EDUCATION,COMPUT EDUC,PERGAMON-ELSEVIER SCIENCE LTD,0360-1315,1873-782X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"26,477",8.9,Q1,3.71,24.82%
COMPUTERS & EDUCATION,COMPUT EDUC,PERGAMON-ELSEVIER SCIENCE LTD,0360-1315,1873-782X,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"26,477",8.9,Q1,3.71,24.82%
AMERICAN JOURNAL OF TRANSPLANTATION,AM J TRANSPLANT,ELSEVIER SCIENCE INC,1600-6135,1600-6143,SURGERY,SCIE,"25,282",8.9,Q1,3.53,60%
AMERICAN JOURNAL OF TRANSPLANTATION,AM J TRANSPLANT,ELSEVIER SCIENCE INC,1600-6135,1600-6143,TRANSPLANTATION,SCIE,"25,282",8.9,Q1,3.53,60%
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,IEEE COMPUTER SOC,1041-4347,1558-2191,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",SCIE,"25,863",8.9,Q1,2.59,6.80%
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,IEEE COMPUTER SOC,1041-4347,1558-2191,"COMPUTER SCIENCE, INFORMATION SYSTEMS",SCIE,"25,863",8.9,Q1,2.59,6.80%
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,IEEE COMPUTER SOC,1041-4347,1558-2191,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"25,863",8.9,Q1,2.59,6.80%
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,0278-0062,1558-254X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,"33,917",8.9,Q1,2.35,13.89%
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,0278-0062,1558-254X,"ENGINEERING, BIOMEDICAL",SCIE,"33,917",8.9,Q1,2.35,13.89%
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,0278-0062,1558-254X,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"33,917",8.9,Q1,2.35,13.89%
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,0278-0062,1558-254X,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,SCIE,"33,917",8.9,Q1,2.35,13.89%
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,0278-0062,1558-254X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"33,917",8.9,Q1,2.35,13.89%
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,IEEE T WIREL COMMUN,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1536-1276,1558-2248,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"39,174",8.9,Q1,2.34,7.93%
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,IEEE T WIREL COMMUN,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1536-1276,1558-2248,TELECOMMUNICATIONS,SCIE,"39,174",8.9,Q1,2.34,7.93%
Journal of Destination Marketing & Management,J DESTIN MARK MANAGE,ELSEVIER,2212-571X,2212-5752,"HOSPITALITY, LEISURE, SPORT & TOURISM",SSCI,"4,966",8.9,Q1,2.18,16.30%
Journal of Destination Marketing & Management,J DESTIN MARK MANAGE,ELSEVIER,2212-571X,2212-5752,MANAGEMENT,SSCI,"4,966",8.9,Q1,2.18,16.30%
Current Opinion in Food Science,CURR OPIN FOOD SCI,ELSEVIER SCI LTD,2214-7993,2214-8000,FOOD SCIENCE & TECHNOLOGY,SCIE,"7,124",8.9,Q1,1.82,17.68%
JOURNAL OF WORLD BUSINESS,J WORLD BUS,ELSEVIER SCIENCE INC,1090-9516,1878-5573,BUSINESS,SSCI,"8,271",8.9,Q1,1.75,30.17%
Journal of Energy Storage,J ENERGY STORAGE,ELSEVIER,2352-152X,2352-1538,ENERGY & FUELS,SCIE,"58,163",8.9,Q1,1.31,6.82%
Implementation Science,IMPLEMENT SCI,BMC,1748-5908,1748-5908,HEALTH CARE SCIENCES & SERVICES,SCIE,"17,144",8.8,Q1,2.66,100%
Implementation Science,IMPLEMENT SCI,BMC,1748-5908,1748-5908,HEALTH POLICY & SERVICES,SSCI,"17,144",8.8,Q1,2.66,100%
BRAIN BEHAVIOR AND IMMUNITY,BRAIN BEHAV IMMUN,ACADEMIC PRESS INC ELSEVIER SCIENCE,0889-1591,1090-2139,IMMUNOLOGY,SCIE,"27,023",8.8,Q1,2.62,33.13%
BRAIN BEHAVIOR AND IMMUNITY,BRAIN BEHAV IMMUN,ACADEMIC PRESS INC ELSEVIER SCIENCE,0889-1591,1090-2139,NEUROSCIENCES,SCIE,"27,023",8.8,Q1,2.62,33.13%
BRAIN BEHAVIOR AND IMMUNITY,BRAIN BEHAV IMMUN,ACADEMIC PRESS INC ELSEVIER SCIENCE,0889-1591,1090-2139,PSYCHIATRY,SCIE,"27,023",8.8,Q1,2.62,33.13%
CRITICAL CARE,CRIT CARE,BMC,1364-8535,1466-609X,CRITICAL CARE MEDICINE,SCIE,"35,618",8.8,Q1,1.97,99.69%
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,AM J OBSTET GYNECOL,MOSBY-ELSEVIER,0002-9378,1097-6868,OBSTETRICS & GYNECOLOGY,SCIE,"46,705",8.7,Q1,3.4,15.37%
ULTRASONICS SONOCHEMISTRY,ULTRASON SONOCHEM,ELSEVIER,1350-4177,1873-2828,ACOUSTICS,SCIE,"32,921",8.7,Q1,2.1,98.80%
ULTRASONICS SONOCHEMISTRY,ULTRASON SONOCHEM,ELSEVIER,1350-4177,1873-2828,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,"32,921",8.7,Q1,2.1,98.80%
IEEE Journal of Selected Topics in Signal Processing,IEEE J-STSP,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1932-4553,1941-0484,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"8,945",8.7,Q1,2.05,11.15%
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,J STRATEGIC INF SYST,ELSEVIER,0963-8687,1873-1198,"COMPUTER SCIENCE, INFORMATION SYSTEMS",SCIE,"3,818",8.7,Q1,1.82,35.19%
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,J STRATEGIC INF SYST,ELSEVIER,0963-8687,1873-1198,INFORMATION SCIENCE & LIBRARY SCIENCE,SSCI,"3,818",8.7,Q1,1.82,35.19%
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,J STRATEGIC INF SYST,ELSEVIER,0963-8687,1873-1198,MANAGEMENT,SSCI,"3,818",8.7,Q1,1.82,35.19%
IEEE Transactions on Sustainable Energy,IEEE T SUSTAIN ENERG,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1949-3029,1949-3037,ENERGY & FUELS,SCIE,"15,992",8.7,Q1,1.74,6.39%
IEEE Transactions on Sustainable Energy,IEEE T SUSTAIN ENERG,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1949-3029,1949-3037,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"15,992",8.7,Q1,1.74,6.39%
IEEE Transactions on Sustainable Energy,IEEE T SUSTAIN ENERG,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1949-3029,1949-3037,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"15,992",8.7,Q1,1.74,6.39%
Materials Today Bio,MATER TODAY BIO,ELSEVIER,2590-0064,2590-0064,"ENGINEERING, BIOMEDICAL",SCIE,"4,917",8.7,Q1,1.69,90.90%
Materials Today Bio,MATER TODAY BIO,ELSEVIER,2590-0064,2590-0064,"MATERIALS SCIENCE, BIOMATERIALS",SCIE,"4,917",8.7,Q1,1.69,90.90%
Protection and Control of Modern Power Systems,PROT CONTR MOD POW,SPRINGER SINGAPORE PTE LTD,2367-2617,2367-0983,ENERGY & FUELS,SCIE,"1,842",8.7,Q1,1.69,100%
Protection and Control of Modern Power Systems,PROT CONTR MOD POW,SPRINGER SINGAPORE PTE LTD,2367-2617,2367-0983,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"1,842",8.7,Q1,1.69,100%
Sustainable Materials and Technologies,SUSTAIN MATER TECHNO,ELSEVIER,2214-9937,2214-9937,ENERGY & FUELS,SCIE,"5,846",8.7,Q1,1.45,16.52%
Sustainable Materials and Technologies,SUSTAIN MATER TECHNO,ELSEVIER,2214-9937,2214-9937,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,SCIE,"5,846",8.7,Q1,1.45,16.52%
Sustainable Materials and Technologies,SUSTAIN MATER TECHNO,ELSEVIER,2214-9937,2214-9937,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"5,846",8.7,Q1,1.45,16.52%
ARCHIVOS DE BRONCONEUMOLOGIA,ARCH BRONCONEUMOL,ELSEVIER ESPANA SLU,0300-2896,1579-2129,RESPIRATORY SYSTEM,SCIE,"2,752",8.7,Q1,1.38,10.19%
MOLECULAR ASPECTS OF MEDICINE,MOL ASPECTS MED,ELSEVIER,0098-2997,1872-9452,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"8,973",8.7,Q1,1.31,26.44%
MOLECULAR ASPECTS OF MEDICINE,MOL ASPECTS MED,ELSEVIER,0098-2997,1872-9452,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"8,973",8.7,Q1,1.31,26.44%
PROGRESS IN SURFACE SCIENCE,PROG SURF SCI,PERGAMON-ELSEVIER SCIENCE LTD,0079-6816,1878-4240,"CHEMISTRY, PHYSICAL",SCIE,"1,767",8.7,Q1,0.42,19.05%
PROGRESS IN SURFACE SCIENCE,PROG SURF SCI,PERGAMON-ELSEVIER SCIENCE LTD,0079-6816,1878-4240,"PHYSICS, CONDENSED MATTER",SCIE,"1,767",8.7,Q1,0.42,19.05%
International Journal of Educational Technology in Higher Education,INT J EDUC TECHNOL H,SPRINGER,2365-9440,2365-9440,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"3,322",8.6,Q1,4,99.46%
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,EUR J NUCL MED MOL I,SPRINGER,1619-7070,1619-7089,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"23,006",8.6,Q1,2.47,49.66%
AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,AM J CLIN DERMATOL,ADIS INT LTD,1175-0561,1179-1888,DERMATOLOGY,SCIE,"5,833",8.6,Q1,2.41,40.28%
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,ELSEVIER SCI LTD,0959-3780,1872-9495,ENVIRONMENTAL SCIENCES,SCIE,"24,203",8.6,Q1,2.38,53.61%
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,ELSEVIER SCI LTD,0959-3780,1872-9495,ENVIRONMENTAL STUDIES,SSCI,"24,203",8.6,Q1,2.38,53.61%
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,ELSEVIER SCI LTD,0959-3780,1872-9495,GEOGRAPHY,SSCI,"24,203",8.6,Q1,2.38,53.61%
IEEE Transactions on Smart Grid,IEEE T SMART GRID,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1949-3053,1949-3061,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"39,162",8.6,Q1,2.26,6.41%
IEEE Transactions on Systems Man Cybernetics-Systems,IEEE T SYST MAN CY-S,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2168-2216,2168-2232,AUTOMATION & CONTROL SYSTEMS,SCIE,"28,465",8.6,Q1,1.75,3.85%
IEEE Transactions on Systems Man Cybernetics-Systems,IEEE T SYST MAN CY-S,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2168-2216,2168-2232,"COMPUTER SCIENCE, CYBERNETICS",SCIE,"28,465",8.6,Q1,1.75,3.85%
Journal of Big Data,J BIG DATA-GER,SPRINGERNATURE,N/A,2196-1115,"COMPUTER SCIENCE, THEORY & METHODS",SCIE,"8,364",8.6,Q1,1.63,99.78%
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,J INT BUS STUD,PALGRAVE MACMILLAN LTD,0047-2506,1478-6990,BUSINESS,SSCI,"18,176",8.6,Q1,1.62,32.74%
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,J INT BUS STUD,PALGRAVE MACMILLAN LTD,0047-2506,1478-6990,MANAGEMENT,SSCI,"18,176",8.6,Q1,1.62,32.74%
Journal of Nanostructure in Chemistry,J NANOSTRUCTURE CHEM,SPRINGER HEIDELBERG,2008-9244,2193-8865,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,"3,206",8.6,Q1,1.38,8.75%
Journal of Nanostructure in Chemistry,J NANOSTRUCTURE CHEM,SPRINGER HEIDELBERG,2008-9244,2193-8865,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"3,206",8.6,Q1,1.38,8.75%
Journal of Nanostructure in Chemistry,J NANOSTRUCTURE CHEM,SPRINGER HEIDELBERG,2008-9244,2193-8865,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"3,206",8.6,Q1,1.38,8.75%
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,REV ENVIRON SCI BIO,SPRINGER,1569-1705,1572-9826,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"5,120",8.6,Q1,1.1,23.21%
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,REV ENVIRON SCI BIO,SPRINGER,1569-1705,1572-9826,ENVIRONMENTAL SCIENCES,SCIE,"5,120",8.6,Q1,1.1,23.21%
Cardiovascular Diabetology,CARDIOVASC DIABETOL,BMC,N/A,1475-2840,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"13,519",8.5,Q1,2.14,99.76%
Cardiovascular Diabetology,CARDIOVASC DIABETOL,BMC,N/A,1475-2840,ENDOCRINOLOGY & METABOLISM,SCIE,"13,519",8.5,Q1,2.14,99.76%
Food Packaging and Shelf Life,FOOD PACKAGING SHELF,ELSEVIER,2214-2894,2214-2894,FOOD SCIENCE & TECHNOLOGY,SCIE,"8,416",8.5,Q1,1.89,12.71%
JPAD-Journal of Prevention of Alzheimers Disease,JPAD-J PREV ALZHEIM,SPRINGER BASEL AG,2274-5807,2426-0266,CLINICAL NEUROLOGY,SCIE,"2,116",8.5,Q1,1.88,23.27%
Food Chemistry,FOOD CHEM,ELSEVIER SCI LTD,0308-8146,1873-7072,"CHEMISTRY, APPLIED",SCIE,"202,782",8.5,Q1,1.83,7.83%
Food Chemistry,FOOD CHEM,ELSEVIER SCI LTD,0308-8146,1873-7072,FOOD SCIENCE & TECHNOLOGY,SCIE,"202,782",8.5,Q1,1.83,7.83%
Food Chemistry,FOOD CHEM,ELSEVIER SCI LTD,0308-8146,1873-7072,NUTRITION & DIETETICS,SCIE,"202,782",8.5,Q1,1.83,7.83%
Molecular Systems Biology,MOL SYST BIOL,SPRINGERNATURE,1744-4292,1744-4292,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"9,951",8.5,Q1,1.74,55.50%
Pneumonia,PNEUMONIA,BMC,2200-6133,2200-6133,RESPIRATORY SYSTEM,ESCI,464,8.5,Q1,1.14,100%
IEEE TRANSACTIONS ON MULTIMEDIA,IEEE T MULTIMEDIA,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1520-9210,1941-0077,"COMPUTER SCIENCE, INFORMATION SYSTEMS",SCIE,"17,466",8.4,Q1,2.42,2.02%
IEEE TRANSACTIONS ON MULTIMEDIA,IEEE T MULTIMEDIA,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1520-9210,1941-0077,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,"17,466",8.4,Q1,2.42,2.02%
IEEE TRANSACTIONS ON MULTIMEDIA,IEEE T MULTIMEDIA,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1520-9210,1941-0077,TELECOMMUNICATIONS,SCIE,"17,466",8.4,Q1,2.42,2.02%
JACC-Basic to Translational Science,JACC-BASIC TRANSL SC,ELSEVIER SCIENCE INC,2452-302X,2452-302X,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"3,729",8.4,Q1,2.14,99.55%
DIABETOLOGIA,DIABETOLOGIA,SPRINGER,0012-186X,1432-0428,ENDOCRINOLOGY & METABOLISM,SCIE,"34,626",8.4,Q1,1.92,64.47%
DESALINATION,DESALINATION,ELSEVIER,0011-9164,1873-4464,"ENGINEERING, CHEMICAL",SCIE,"52,945",8.4,Q1,1.77,8.33%
DESALINATION,DESALINATION,ELSEVIER,0011-9164,1873-4464,WATER RESOURCES,SCIE,"52,945",8.4,Q1,1.77,8.33%
CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,CLIN REV ALLERG IMMU,HUMANA PRESS INC,1080-0549,1559-0267,ALLERGY,SCIE,"6,065",8.4,Q1,1.71,30.61%
CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,CLIN REV ALLERG IMMU,HUMANA PRESS INC,1080-0549,1559-0267,IMMUNOLOGY,SCIE,"6,065",8.4,Q1,1.71,30.61%
JOURNAL OF MEMBRANE SCIENCE,J MEMBRANE SCI,ELSEVIER,0376-7388,1873-3123,"ENGINEERING, CHEMICAL",SCIE,"87,844",8.4,Q1,1.69,7.02%
JOURNAL OF MEMBRANE SCIENCE,J MEMBRANE SCI,ELSEVIER,0376-7388,1873-3123,POLYMER SCIENCE,SCIE,"87,844",8.4,Q1,1.69,7.02%
Journal of Materiomics,J MATERIOMICS,ELSEVIER,2352-8478,2352-8478,"CHEMISTRY, PHYSICAL",SCIE,"5,056",8.4,Q1,1.61,96.08%
