Position,Institution,Country/territory,Count,Share
5902,University of the Andes (ULA),Venezuela,4,0.233584322
5903,South Tyneside and Sunderland NHS Foundation Trust (STSFT),United Kingdom (UK),7,0.233574928
5904,Gobabeb-Namib Research Institute,Namibia,2,0.233516484
5905,MegaRobo Technologies Co. ltd,China,3,0.233333333
5905,Momentum Transfer GmbH,Germany,2,0.233333333
5905,Wyoming Game & Fish Department,United States of America (USA),2,0.233333333
5905,Clarivate Analytics,United States of America (USA),2,0.233333333
5905,Pakistan Museum of Natural History,Pakistan,2,0.233333333
5905,Our Lady of the Lake Regional Medical Center (OLOLRMC),United States of America (USA),1,0.233333333
5905,Edward Via College of Osteopathic Medicine (VCOM),United States of America (USA),1,0.233333333
5905,"TwinStrand Biosciences, Inc.",United States of America (USA),1,0.233333333
5905,Rhône-Alpes Complex Systems Institute (IXXI),France,1,0.233333333
5905,Qnami AG,Switzerland,1,0.233333333
5905,NA Vaccine Institute,South Korea,1,0.233333333
5905,Kunming Supervision and Inspection Center,China,1,0.233333333
5905,Revitalising Informal Settlements and their Environments (RISE),Australia,1,0.233333333
5905,University Clinic of Respiratory and Allergic Diseases Golnik,Slovenia,1,0.233333333
5906,Bern University of Applied Sciences (BUAS),Switzerland,5,0.233231562
5907,Desmond Tutu Health Foundation (DTHF),South Africa,6,0.233062771
5908,Fraser Health,Canada,5,0.232936508
5909,Austral University,Argentina,3,0.232810586
5910,Enthera S.r.l.,Italy,2,0.232638889
5910,GenomeAsia 100K,Singapore,1,0.232638889
5911,Gorgan University of Agricultural Sciences and Natural Resources,Iran,3,0.232539683
5912,Renshine Solar,China,3,0.232348485
5913,Hospital San Pedro de Alcántara,Spain,4,0.232321188
5914,Ksilink,France,2,0.232142857
5915,University of Ziguinchor (UASZ),Senegal,2,0.231818182
5915,Wuhan Wuchang Hospital,China,2,0.231818182
5916,Hoag Memorial Hospital Presbyterian,United States of America (USA),3,0.231431967
5917,Copenhagen Business School (CBS),Denmark,30,0.231282086
5918,University Kidney Research Organization (UKRO),United States of America (USA),2,0.23125
5919,North Karelia Central Hospital and Honkalampi Centre (PKSSK),Finland,3,0.231150794
5920,Defitech Foundation,Eswatini,5,0.231015572
5921,Lu'an First People's Hospital,China,6,0.230808761
5922,Acuitive Technologies Inc,United States of America (USA),1,0.230769231
5922,SparX Biopharmaceutical,United States of America (USA),1,0.230769231
5922,"Conservation Science Global, Inc.",United States of America (USA),1,0.230769231
5922,Naval Surface Warfare Center (NSWC),United States of America (USA),1,0.230769231
5922,The Chemours Company,United States of America (USA),1,0.230769231
5922,Weiss Bioscience,United States of America (USA),1,0.230769231
5922,MITRE,United States of America (USA),1,0.230769231
5922,Vitamin Angels,United States of America (USA),1,0.230769231
5922,"Kaleido Biosciences, Inc.",United States of America (USA),1,0.230769231
5922,HEVA,France,1,0.230769231
5922,LT Materials,South Korea,1,0.230769231
5922,Denomics,South Korea,1,0.230769231
5922,Hyogo Prefectural Nishinomiya Hospital,Japan,1,0.230769231
5922,BLK-Max Super Speciality Hospital,India,1,0.230769231
5922,Jinhe Biotechnology,China,1,0.230769231
5922,Palace Museum,China,1,0.230769231
5922,Maternal and Child Health Service Center of Wuhua District,China,1,0.230769231
5922,"LI‐FUN Technology Co., Ltd.",China,1,0.230769231
5922,"Suzhou Qingyue Optoelectronics Technology Co., Ltd.",China,1,0.230769231
5922,Guangxi Botanical Garden of Medicinal Plants,China,1,0.230769231
5922,"IRSpectra Co., Ltd.",South Korea,1,0.230769231
5923,Earthwave Ltd.,United Kingdom (UK),2,0.230603448
5924,The James Cook University Hospital NHS Foundation Trust,United Kingdom (UK),2,0.230555556
5925,Center for Intervention and Research on adaptive and maladaptive brain Circuits underlying mental health (C-I-R-C),Germany,4,0.230456349
5926,"Grupo de las Industrias Biotecnológica, y Farmacéutica (BioCubaFarma)",Cuba,5,0.23034188
5927,Servier Pharmaceuticals LLC.,United States of America (USA),2,0.23030303
5928,Tianqiao and Chrissy Chen Institute (TCCI),United States of America (USA),3,0.230297888
5929,University of the Virgin Islands (UVI),United States of America (USA),14,0.230250627
5930,Australian Centre for Behavioural Research in Diabetes (ACBRD),Australia,2,0.23015873
5931,Deyang People's Hospital,China,3,0.229982006
5932,National Museum of Denmark,Denmark,3,0.229925303
5933,"General Dynamics Information Technology, Inc.",United States of America (USA),4,0.229922486
5934,Kitakyushu Municipal Medical Center,Japan,3,0.229813665
5935,Medical Image Analysis Center (MIAC),Switzerland,7,0.22964383
5936,University of Hildesheim,Germany,4,0.229629721
5937,International Institute for Sustainability (IIS),Brazil,4,0.229604609
5938,Elon University,United States of America (USA),2,0.229575163
5939,Tianjin Huanhu Hospital,China,8,0.22955204
5940,Nordland Hospital,Norway,6,0.229417142
5941,North Tees and Hartlepool NHS Foundation Trust,United Kingdom (UK),3,0.229358498
5942,Beijing Institute of Fashion Technology (BIFT),China,3,0.22933635
5943,Institute of Nanjing Advanced Biomaterials & Processing Equipment (IBP),China,3,0.229166667
5943,Deutsche Zentrum für Astrophysik (DZA),Germany,3,0.229166667
5943,Touro College and University System,United States of America (USA),3,0.229166667
5943,Changsha Hospital for Maternal and Child Health Care,China,2,0.229166667
5943,South China Institute of Biomedicine,China,1,0.229166667
5943,Chaire Economie du Climat,France,1,0.229166667
5944,MediClin AG,Germany,3,0.228910188
5945,Sustainable Sciences Institute (SSI),United States of America (USA),3,0.228716003
5946,Celvia CC AS,Estonia,2,0.228703704
5947,"Hunter Biotechnology, Inc.",China,2,0.228571429
5948,Regional Hospital in Horsens,Denmark,5,0.228224641
5949,Hungarian National Museum (HNM),Hungary,5,0.228150829
5950,Hebei People's Hospital,China,4,0.228083028
5951,University of Palermo (UP),Argentina,4,0.228063335
5952,Telemark Hospital Skien,Norway,4,0.227999757
5953,Shaoxing People's Hospital,China,5,0.227881027
5954,Universidad de Playa Ancha (UPLA),Chile,2,0.227777778
5954,Central Asian University (CAU),Uzbekistan,2,0.227777778
5954,Hanse-Wissenschaftskolleg (HWK) - Institute for Advanced Study,Germany,5,0.227777778
5954,Bell Mountain Molecular MedTech Institute,China,2,0.227777778
5955,ZTT Group,China,2,0.227564103
5956,Berliner Hochschule für Technik (BHT),Germany,3,0.227513228
5957,The Sixth People's Hospital of Shenyang,China,3,0.227298851
5958,Neusoft Group,China,1,0.227272727
5958,Nordic Institute of Health Economics (NIHE),Denmark,1,0.227272727
5958,Doctech. HK Ltd.,China,1,0.227272727
5958,Pukou Hospital of Chinese Medicine,China,1,0.227272727
5958,"Xukang Medical Science and Technology (Suzhou) Co., Ltd.",China,1,0.227272727
5958,"Kennell and Associates, Inc.",United States of America (USA),1,0.227272727
5959,"Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)",Belgium,2,0.226923077
5960,Fondazione Michelangelo,Italy,6,0.226788552
5961,Bülent Ecevit University,Turkey,4,0.22652112
5962,Universiti Malaysia Sarawak (UNIMAS),Malaysia,3,0.226515152
5963,"Integral Molecular, Inc.",United States of America (USA),2,0.226495726
5964,Kurashiki Central Hospital (KCH),Japan,5,0.226433889
5965,Geological Museum of China,China,2,0.226190476
5965,Daicel Corporation,Japan,2,0.226190476
5965,Urban Institute,United States of America (USA),2,0.226190476
5965,University of Wisconsin-Whitewater,United States of America (USA),2,0.226190476
5965,Xinyu University,China,2,0.226190476
5966,Centre de Recherches sur la Géologie des Matières Premières Minérales et Energétiques (CREGU),France,4,0.225793651
5967,Armauer Hansen Research Institute (AHRI),Ethiopia,4,0.225657193
5968,Solved - Solutions in Geoinformation,Brazil,1,0.225490196
5969,Ospedale Policlinico Casilino,Italy,3,0.225296443
5970,Prince of Asturias University Hospital,Spain,5,0.225053186
5971,Irvington High School,United States of America (USA),2,0.225
5971,Alfraganus University,Uzbekistan,2,0.225
5971,"EnFuego Therapeutics, Inc,",United States of America (USA),2,0.225
5971,Western New England University (WNE),United States of America (USA),2,0.225
5971,Multiverse Computing,Spain,2,0.225
5971,Research Institute for Production Development,Japan,2,0.225
5971,Shandong Academy of Chinese Medicine,China,2,0.225
5971,Wenhua College,China,2,0.225
5971,"Western Superconducting Technologies Co., Ltd.",China,2,0.225
5971,Sichuan College of Architectural Technology,China,2,0.225
5971,"Tonga Ministry of Lands, Survey and Natural Resources",Tonga,2,0.225
5971,Delve Bio,United States of America (USA),1,0.225
5971,Quantum Science Center,United States of America (USA),1,0.225
5972,"SomaLogic, Inc.",United States of America (USA),2,0.224958949
5973,Gottsegen National Cardiovascular Center,Hungary,5,0.224748907
5974,MPG Ranch,United States of America (USA),3,0.224736048
5975,EVLiXiR,China,3,0.22457265
5976,International Society of Nephrology (ISN),Belgium,2,0.224561404
5977,Bloodworks Northwest Research Institute,United States of America (USA),3,0.224457203
5978,West China Tianfu Hospital,China,4,0.224389052
5979,Bioinformatics Solutions Inc. (BSI),Canada,3,0.224033816
5979,Klinik St. Elisabeth,Germany,2,0.224033816
5980,Health Service Executive (HSE),Ireland,8,0.223897137
5981,Novant Health,United States of America (USA),6,0.223723197
5982,CatalYm GmbH,Germany,1,0.223684211
5983,Groene Hart Hospital,Netherlands,4,0.223549784
5984,Guangdong Juhua Research Institute of Advanced Display,China,2,0.223333333
5985,University of Maribor,Slovenia,5,0.223324796
5986,"Gran Telescopio de Canarias, S.A. (GRANTECAN)",Spain,3,0.223285486
5987,Rancho Los Amigos National Rehabilitation Center (Rancho),United States of America (USA),3,0.223168498
5988,Paris Institute of Political Studies (Sciences Po),France,8,0.222370016
5989,ImmunoBiome Inc.,South Korea,1,0.222222222
5989,EvolVeritas Biotechnology Ltd.,Hungary,1,0.222222222
5989,KWS SAAT SE,Germany,3,0.222222222
5989,NanoRaman Analysis Corp.,South Korea,2,0.222222222
5989,Center for Snow and Avalanche Studies (CSAS),United States of America (USA),2,0.222222222
5989,ZEN University,Japan,2,0.222222222
5989,Nanjing Institute of Microinterface Technology,China,2,0.222222222
5989,"Ningbo ANN Semiconductor Co., Ltd.",China,2,0.222222222
5989,"Apellis Pharmaceuticals, Inc.",United States of America (USA),1,0.222222222
5989,Hanoi Obstetrics and Gynecology Hospital,Vietnam,1,0.222222222
5989,Nanohmics Inc.,United States of America (USA),1,0.222222222
5989,Black Diamond Therapeutics Inc.,United States of America (USA),1,0.222222222
5989,British Columbia Conservation Foundation (BCCF),Canada,1,0.222222222
5989,The Woodland Trust,United Kingdom (UK),1,0.222222222
5989,"Vitala Technologies, S.L.",Spain,1,0.222222222
5989,Marine Institute,Ireland,1,0.222222222
5989,Endowave Limited,Ireland,1,0.222222222
5989,Nürnberg Zoo,Germany,1,0.222222222
5989,EpiQMAx GmbH,Germany,1,0.222222222
5989,LVMH Recherche,France,1,0.222222222
5989,Fertility Center Berlin,Germany,1,0.222222222
5989,Elegen Corp,United States of America (USA),1,0.222222222
5989,West Texas A and M University (WTAMU),United States of America (USA),1,0.222222222
5989,WattTime,United States of America (USA),1,0.222222222
5989,EzBiome Inc.,United States of America (USA),1,0.222222222
5989,BIA Clinical Group,United States of America (USA),1,0.222222222
5989,Childhood Arthritis and Rheumatology Research Alliance (CARRA),United States of America (USA),1,0.222222222
5989,Abeona Therapeutics,United States of America (USA),1,0.222222222
5989,Bateman Horne Center (BHC),United States of America (USA),1,0.222222222
5989,Nimbus Therapeutics,United States of America (USA),1,0.222222222
5989,"Minerva Neurosciences, Inc.",United States of America (USA),1,0.222222222
5989,Repertoire Immune Medicines,United States of America (USA),1,0.222222222
5989,Amazon Institute of People and the Environment (Imazon),Brazil,1,0.222222222
5989,Universidad Nacional de Cajamarca (UNC),Peru,1,0.222222222
5989,Sami Shamoon College of Engineering (SCE),Israel,1,0.222222222
5989,POET Technologies,Singapore,1,0.222222222
5989,Association Cétamada,Madagascar,1,0.222222222
5989,University of Gabès,Tunisia,1,0.222222222
5989,BIG Questions Institute,Australia,1,0.222222222
5989,Longyan Water Environment Development Co. Ltd.,China,1,0.222222222
5989,"Guangzhou Lushan New Materials Co., Ltd.",China,1,0.222222222
5989,Beijing Huanwei Group,China,1,0.222222222
5989,Alber Particle Science and Technology Research Institute,China,1,0.222222222
5989,Global Energy Interconnection Development and Cooperation Organization (GEIDCO),China,1,0.222222222
5989,Harbin No.1 Special Hospital,China,1,0.222222222
5989,"Tianli Lithium Energy Group Co., Ltd.",China,1,0.222222222
5989,"Shandong Yanggu Huatai Chemical Co., Ltd.",China,1,0.222222222
5989,"Karamay Zhiyuan Bochuang Environmental Protection Technology Co., Ltd.",China,1,0.222222222
5989,"Shanghai Neutan Pharmaceutical Company, Ltd.",China,1,0.222222222
5989,"Zijin Mining Group Co., Ltd",China,1,0.222222222
5989,Gansu Computation Center,China,1,0.222222222
5989,Tangshan Municipal Water Supply,China,1,0.222222222
5989,Guangzhou Municipal Construction Group,China,1,0.222222222
5989,Shanghai Accurate Technologies,China,1,0.222222222
5989,Howtian Group,China,1,0.222222222
5989,Acharya Prafulla Chandra Roy Government College,India,1,0.222222222
5989,"Cosomil, Inc.",Japan,1,0.222222222
5989,Tama Family Clinic,Japan,1,0.222222222
5989,"PI-Crystal, Inc.",Japan,1,0.222222222
5989,Clinixero,Malaysia,1,0.222222222
5989,Jeonju University,South Korea,1,0.222222222
5989,"Suzhou Concrete and Cement Products Research Institute Co., Ltd.",China,1,0.222222222
5990,Sanya People's Hospital,China,4,0.222077922
5991,University of Corsica Pasquale Paoli,France,6,0.222029468
5992,École Nationale Supérieure d’Architecture de Normandie (ENSA Normandie),France,22,0.221945476
5993,Sir Run Run Hospital,China,3,0.221861472
5994,Federal Medical Centre,Nigeria,3,0.221627476
5995,Transylvanian Institute of Neuroscience (TINS),Romania,4,0.221428571
5995,Icelandic Institute of Natural History,Iceland,2,0.221428571
5996,"Zhongke Radio Sensing AI Technology Co., Ltd.",China,2,0.221153846
5997,Yu-Yue Pathology Scientific Research Center,China,7,0.221057184
5998,Mater Private Hospital,Ireland,7,0.220952044
5999,Simón Bolívar University,Colombia,4,0.220748454
6000,Rizhao People’s Hospital,China,4,0.220586821
6001,Uva Wellassa University (UWU),Sri Lanka,4,0.220579859
6002,Rela Institute and Medical Centre,India,2,0.220512821
6003,Zhejiang Academy of Science & Tecnnology for Inspection & Quarantine,China,2,0.220238095
6004,Our Lady's Children’s Hospital,Ireland,2,0.22008547
6005,"Anqing Rare Metal Advanced Materials Co., Ltd.",China,1,0.22
6005,Etern Biopharma Co. Ltd.,China,2,0.22
6005,Chengdu Fifth People’s Hospital,China,2,0.22
6006,Foshan (Southern China) Institute for New Materials,China,4,0.219918483
6007,Complejo Asistencial Universitario de Salamanca,Spain,5,0.219884394
6008,Institut Jean Godinot,France,6,0.21983533
6009,"Yunyi (Beijing) Medical Device Co., LTD.",China,2,0.21978022
6009,Latus Bio,United States of America (USA),2,0.21978022
6009,Eastern Michigan University (EMU),United States of America (USA),2,0.21978022
6009,China Aerodynamics Research and Development Center (CARDC),China,2,0.21978022
6009,Wanjiang Emerging Industry Technology Development Center,China,2,0.21978022
6009,ALomax Scientific,France,2,0.21978022
6010,Probity Medical Research Inc. (PMR),Canada,5,0.21977467
6011,Institute for Geological and Mining Research (IRGM),Cameroon,2,0.219607843
6012,Hôpital Nord-Ouest Val-d’Oise (NOVO),France,4,0.219485743
6013,University of San Francisco (USF),Brazil,2,0.219230769
6014,Echosens,France,3,0.21916476
6015,Ericsson,Sweden,4,0.219034593
6016,Merus N.V.,Netherlands,1,0.21875
6016,Institut Guttmann,Spain,1,0.21875
6017,National University of Medical Sciences (NUMS),Pakistan,5,0.218646415
6018,The First Hospital of Putian City,China,3,0.218571429
6019,Deep Piction,Germany,2,0.218480392
6020,Medical University of Sofia,Bulgaria,10,0.218159794
6021,Anhui Provincial Cancer Hospital,China,8,0.218120009
6022,Nebrija University,Spain,4,0.218009768
6023,QBoson Quantum Technology,China,1,0.217948718
6023,Guilin University of Aerospace Technology (GUAT),China,2,0.217948718
6023,Nanoscope Technologies LLC,United States of America (USA),1,0.217948718
6023,MindX Sciences,United States of America (USA),1,0.217948718
6023,Guarulhos University (UnG),Brazil,1,0.217948718
6024,Hospital Félix-Guyon,France,6,0.217835687
6025,Marien Ngouabi University (UMNG),Congo,5,0.217819149
6026,Lister Hospital and Fertility Centre,Ghana,2,0.21780303
6027,"Qingyuan Huayuan Institute of Science and Technology Collaborative Innovation Co., Ltd.",China,2,0.217532468
6027,Rhode Island Department of Health,United States of America (USA),2,0.217532468
6028,Immunofoco,China,1,0.217391304
6029,University of New Caledonia (UNC),France,10,0.217270187
6030,Yanyang Energy Inc.,China,3,0.217261905
6031,Insper,Brazil,2,0.217241379
6032,Ecuador Ministry of Environment,Ecuador,7,0.216889326
6033,Centro de Investigaciones Biológicas del Noroeste (CIBNOR),Mexico,3,0.216793264
6034,Rajavithi Hospital,Thailand,5,0.216719914
6035,"Nanchuang (Jiangsu) Institute of Chemistry and Health Co., Ltd.",China,2,0.216666667
6035,U-Medico Corporation,Japan,2,0.216666667
6035,Osaka General Hospital of West Japan Railway Company,Japan,2,0.216666667
6035,Nicaragua Ministry of Health (MINSA),Nicaragua,2,0.216666667
6036,"National Center for Parasitology, Entomology and Malaria Control",Cambodia,3,0.216428571
6037,Hospital Dr. Sótero del Río,Chile,3,0.216399287
6038,Beijing Language and Culture University,China,2,0.216260163
6039,Institut National des Sciences de l'Archéologie et du Patrimoine (INSAP),Morocco,3,0.216111111
6040,Risun Group,China,2,0.215909091
6040,"East China Engineering Science and Technology Co.,Ltd",China,2,0.215909091
6040,Na Homolce Hospital,Czech Republic,2,0.215909091
6040,Infinite Potential Technologies LP,Canada,2,0.215909091
6040,Pacific Whale Foundation,United States of America (USA),2,0.215909091
6040,Alaska Whale Foundation,United States of America (USA),2,0.215909091
6041,"Sichuan Industrial Revitalization Fund Investment Group Co., Ltd.",China,3,0.215873016
6042,Sana Kliniken AG,Germany,6,0.215743084
6043,Research Center Pharmaceutical Engineering GmbH (RCPE),Austria,2,0.21546841
6044,Children's Hospitals and Clinics of Minnesota,United States of America (USA),5,0.215112646
6045,World Health Research,Canada,3,0.215107457
6046,Mali Ministry of Health,Mali,4,0.21508031
6047,Beth Israel Lahey Health,United States of America (USA),3,0.21506734
6048,Galdakao-Usansolo University Hospital,Spain,4,0.215046054
6049,Zweckverband Landeswasserversorgung,Germany,3,0.21491009
6050,Alabama State University,United States of America (USA),7,0.214877305
6051,Windhoek Central Hospital,Namibia,3,0.214798851
6052,Hampshire Hospitals NHS Foundation Trust,United Kingdom (UK),4,0.214478973
6053,Maimonides University,Argentina,2,0.214285714
6053,Haeundae Bumin Hospital,South Korea,2,0.214285714
6053,Valey Kamalov LLC,United States of America (USA),2,0.214285714
6053,Ministry of Natural Resources and Environment of the Russian Federation,Russia,2,0.214285714
6053,Dalian Jinshiwan Laboratory,China,2,0.214285714
6053,"Octave Photonics, LLC",United States of America (USA),2,0.214285714
6053,Vara MX Healthcare GmbH,Germany,1,0.214285714
6053,Justen Engineering Services,Germany,1,0.214285714
6053,Internistische Praxisgemeinschaft Hanau (IPG Hanau),Germany,1,0.214285714
6053,Regensburg University of Applied Sciences (OTH Regensburg),Germany,1,0.214285714
6053,European Brain Research Institute (EBRI),Italy,1,0.214285714
6053,Enzymlogic,Spain,1,0.214285714
6053,"Vera Therapeutics, Inc.",United States of America (USA),1,0.214285714
6053,Lamprogen Inc.,United States of America (USA),1,0.214285714
6053,U.S. Department of Housing and Urban Development (HUD),United States of America (USA),1,0.214285714
6053,"Oblate Optics, Inc.",United States of America (USA),1,0.214285714
6053,Global NASH Council,United States of America (USA),1,0.214285714
6053,Baldwin High School,United States of America (USA),1,0.214285714
6053,Peptide Logic,United States of America (USA),1,0.214285714
6053,"Rubedo Life Sciences, Inc.",United States of America (USA),1,0.214285714
6053,Bp Technology,United States of America (USA),1,0.214285714
6053,Genetics & Genomics Services Inc.,United States of America (USA),1,0.214285714
6053,Environment Agency - Abu Dhabi,United Arab Emirates,1,0.214285714
6053,ArtiQ NV,Belgium,1,0.214285714
6053,Pioniq Technologies,France,1,0.214285714
6053,Genovis Inc.,United States of America (USA),1,0.214285714
6053,Dulux Group Ltd.,Australia,1,0.214285714
6053,Nuchip Photoelectric Technology Company Limited,China,1,0.214285714
6053,"Bionova (Shanghai) Medical Technology Co., Ltd.",China,1,0.214285714
6053,Yunnan University of Finance and Economics (YUFE),China,1,0.214285714
6053,Chaozhou People's Hospital,China,1,0.214285714
6053,"CSI Solar Technologies (JiaXing) Co., Ltd.",China,1,0.214285714
6053,Anhui Research Center of Chinese Alligator Reproduction,China,1,0.214285714
6053,Otovia Therapeutics Inc,China,1,0.214285714
6053,Ailomics Therapeutics Co Ltd.,China,1,0.214285714
6053,Pig For Life,Belgium,1,0.214285714
6053,"Taiyo Yuden Co., Ltd.",Japan,1,0.214285714
6053,"Nippon Shokubai Co., Ltd.",Japan,1,0.214285714
6053,Aso Medical Center,Japan,1,0.214285714
6053,Southwest Municipal Engineering Design and Research Institute of China,China,1,0.214285714
6053,YolTech,China,1,0.214285714
6054,Casa de Velàzquez,Spain,3,0.214195527
6055,Northumbria Healthcare NHS Foundation Trust (Northumbria NHS),United Kingdom (UK),4,0.214096882
6056,Maryland Department of Health,United States of America (USA),3,0.214076246
6057,"Guangdong Yuanneng Technologies Co., Ltd.",China,5,0.213998538
6058,Istituto Zooprofilattico Sperimentale delle Venezie (IZSVe),Italy,2,0.213768116
6059,"AvantGen, Inc.",United States of America (USA),2,0.21372549
6059,Damien Foundation,Belgium,2,0.21372549
6060,"Edan Instruments, Inc.",China,2,0.213293651
6061,"Quantum Communication Technology Co., Ltd. (QuantumCTek)",China,2,0.21327642
6062,Hôpital Nord Franche-Comté (HNFC),France,4,0.212988434
6063,Wuzhou Red Cross Hospital,China,3,0.212962963
6064,Centre for the Technologies of Gene and Cell Therapy (CTGCT),Slovenia,3,0.212797619
6065,Korea Advanced Nano Fab Center (KANC),South Korea,3,0.2125
6066,École des hautes études commerciales de Montréal (HEC Montréal),Canada,9,0.212356521
6067,Medical Products Agency (MPA),Sweden,2,0.212195122
6068,Albatroz Therapeutics Pte Ltd.,Singapore,1,0.212121212
6068,Showa Denko Materials Co. Ltd.,Japan,3,0.212121212
6068,Imeldaziekenhuis in Bonheiden,Belgium,3,0.212121212
6068,Guangdong A-HealthX,China,2,0.212121212
6068,The Second People's Hospital of Foshan,China,2,0.212121212
6069,Aster Insights,United States of America (USA),2,0.211948791
6070,Lazio Region Health Service,Italy,2,0.211904762
6071,Kharkiv National Medical University (KNMU),Ukraine,3,0.211600176
6072,"CALB Technology Co., Ltd.",China,7,0.211558442
6073,Mersin University,Turkey,3,0.211199076
6074,University of Puget Sound (UPS),United States of America (USA),2,0.211111111
6074,AMCR Institute,United States of America (USA),2,0.211111111
6074,Philadelphia College of Osteopathic Medicine (PCOM),United States of America (USA),2,0.211111111
6074,Maejo University (MJU),Thailand,2,0.211111111
6074,Science Partners,France,2,0.211111111
6074,Nanning University,China,2,0.211111111
6075,National Center for Disease Control and Public Health (NCDC),Georgia,5,0.210998168
6076,Taibah University,Saudi Arabia,8,0.210924165
6077,Craif Inc.,Japan,1,0.210784314
6078,Institute for Advanced Study (IUSS Pavia),Italy,8,0.210591436
6079,Eniwa Hospital,Japan,1,0.210526316
6079,Photon Science Innovation Center (PhoSIC),Japan,1,0.210526316
6079,WindSled,Spain,1,0.210526316
6080,Hamamatsu Photonics K.K.,Japan,2,0.21025641
6081,St. Mary's Hospital,Japan,2,0.210144928
6081,Hwa Chong Institution,Singapore,2,0.210144928
6082,University of Defence,Serbia,6,0.210137986
6083,Nanjing Pukou Hospital,China,4,0.209722222
6084,Centre for Digestive Diseases (CCD),Australia,3,0.209656085
6085,Nanyang Institute of Technology,China,2,0.20952381
6085,Bicycle Therapeutics Limited,United Kingdom (UK),2,0.20952381
6085,Harran University,Turkey,2,0.20952381
6086,University of Vincennes in Saint-Denis (Paris 8),France,3,0.209243697
6087,Global Fishing Watch,United States of America (USA),3,0.208946226
6088,American Board of Pediatrics Foundation (ABPF),United States of America (USA),3,0.208874459
6089,Centre Hospitalier de Perpignan,France,5,0.208652041
6090,"Yingli Green Energy Holding Co., Ltd. (Yingli Solar)",China,2,0.20855615
6090,Weihenstephan-Triesdorf University of Applied Sciences (HSWT),Germany,2,0.20855615
6091,Centre Hospitalier Sud Francilien (CHSF),France,5,0.208532574
6092,Intermunicipal Public Health of the Charleroi (ISPPC),Belgium,5,0.208471068
6093,OrganOx Limited,United Kingdom (UK),1,0.208333333
6093,Östersund Hospital,Sweden,3,0.208333333
6093,University of Barisal (BU),Bangladesh,2,0.208333333
6093,"Yantai Tayho Advanced Materials Co., Ltd",China,2,0.208333333
6093,Hospital Angeles Health System,Mexico,2,0.208333333
6093,Korea Electric Power Research Institute (KEPRI),South Korea,1,0.208333333
6093,Savara,United States of America (USA),1,0.208333333
6093,Aprovecho Research Center,United States of America (USA),1,0.208333333
6093,MagnetoCat SL,Spain,1,0.208333333
6093,Easee BV,Netherlands,1,0.208333333
6093,Vision 2020 The Netherlands the Right to Sight,Netherlands,1,0.208333333
6093,Myllia Biotechnology GmbH,Austria,1,0.208333333
6093,Virocure Inc,South Korea,1,0.208333333
6093,"GeneMedicine Co., Ltd.",South Korea,1,0.208333333
6093,China Energy Lithium Company,China,1,0.208333333
6094,Xi'an Research Institute of High Technology,China,3,0.208187135
6095,Central Coast Council,Australia,2,0.207936508
6096,University for Continuing Education Krems,Austria,6,0.207458421
6097,Sozialstiftung Bamberg,Germany,11,0.207454607
6098,Bethel University,United States of America (USA),35,0.207352823
6099,Edwards Lifesciences,United States of America (USA),4,0.207226547
6100,"Prenosis, Inc.",United States of America (USA),1,0.206896552
6100,Space Tango,United States of America (USA),1,0.206896552
6101,African Institutes of Science and Technology (AIST),International,2,0.206818182
6102,Hunan University of Medicine,China,2,0.206666667
6103,Jerusalem Hospital Hamburg,Germany,4,0.206659226
6104,Universidad del Cauca,Colombia,2,0.206622517
6105,National Museum of Natural Science,Taiwan,3,0.206493506
6106,Walter Sisulu University (WSU),South Africa,3,0.20610119
6107,Federation University Australia,Australia,9,0.206003126
6108,Gansu University of Chinese Medicine,China,3,0.205884695
6109,Norwegian School of Economics (NHH),Norway,2,0.205882353
6110,"Central Finland Central Hospital, Jyväskylä",Finland,3,0.20579844
6111,Sulaiman Al-Rajhi University (SRC),Saudi Arabia,4,0.205720251
6112,University of Minnesota Medical Center,United States of America (USA),3,0.20564339
6113,Dnipro State Medical University (DSMU),Ukraine,6,0.20552399
6114,China Mobile Communications Corporation,China,3,0.205492424
6115,Nexchip,China,2,0.205357143
6116,Israel Institute for Biological Research (IIBR),Israel,3,0.20530303
6117,Laboratorio Avi Mex S.A. de C.V. (Avimex),Mexico,1,0.205128205
6118,Torbay and Southern Devon NHS Foundation Trust,United Kingdom (UK),5,0.204934914
6119,Stansile,Rwanda,2,0.204861111
6119,Centro de Investigaciones Metabolicas (CINME),Argentina,2,0.204861111
6120,National Hospital Organization Kyushu Medical Center,Japan,5,0.204761188
6121,Munich Leukemia Laboratory (MLL),Germany,4,0.204615385
6122,Urmia University of Medical Science (UMSU),Iran,4,0.204114608
6123,M’Hamed Bouguerra University of Boumerdés,Algeria,2,0.204059829
6124,Tokyo Metropolitan Cancer and Infectious Diseases Center Komagome Hospital,Japan,5,0.203906112
6125,Republican Research and Practical Centre for Pulmonology and Tuberculosis,Belarus,2,0.203478261
6126,Qatar Falcon Genome Project,Qatar,1,0.202898551
6127,Arizona Urology Specialists,United States of America (USA),4,0.202882206
6128,Linfen Central Hospital,China,5,0.202849928
6129,National University of Saint Augustine (UNSA),Peru,3,0.202774059
6130,Pacific University Oregon,United States of America (USA),3,0.202620156
6131,Suzhou Vocational Health College,China,2,0.202380952
6132,Autonomous University of Sinaloa (UAS),Mexico,15,0.202333778
