Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,Upper Name
Research on Child and Adolescent Psychopathology,RES CHILD ADOLES PSY,SPRINGER,2730-7166,2730-7174,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"1,389",2.4,Q2,1,29.79%,RESEARCH ON CHILD AND ADOLESCENT PSYCHOPATHOLOGY
Resuscitation Plus,RESUSC PLUS,ELSEVIER,2666-5204,2666-5204,CRITICAL CARE MEDICINE,ESCI,"1,246",2.4,Q2,0.85,99.27%,RESUSCITATION PLUS
Seminars in Vascular Surgery,SEMIN VASC SURG,W B SAUNDERS CO-ELSEVIER INC,0895-7967,1558-4518,PERIPHERAL VASCULAR DISEASE,SCIE,"1,242",2.4,Q2,0.86,19.62%,SEMINARS IN VASCULAR SURGERY
Seminars in Vascular Surgery,SEMIN VASC SURG,W B SAUNDERS CO-ELSEVIER INC,0895-7967,1558-4518,SURGERY,SCIE,"1,242",2.4,Q2,0.86,19.62%,SEMINARS IN VASCULAR SURGERY
SoftwareX,SOFTWAREX,ELSEVIER,2352-7110,2352-7110,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,"7,264",2.4,Q2,0.73,92.37%,SOFTWAREX
SOLAR PHYSICS,SOL PHYS,SPRINGER,0038-0938,1573-093X,ASTRONOMY & ASTROPHYSICS,SCIE,"12,332",2.4,Q2,0.56,35.70%,SOLAR PHYSICS
SOLID STATE NUCLEAR MAGNETIC RESONANCE,SOLID STATE NUCL MAG,ACADEMIC PRESS INC ELSEVIER SCIENCE,0926-2040,1527-3326,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",SCIE,"1,356",2.4,Q2,0.51,22.22%,SOLID STATE NUCLEAR MAGNETIC RESONANCE
SOLID STATE NUCLEAR MAGNETIC RESONANCE,SOLID STATE NUCL MAG,ACADEMIC PRESS INC ELSEVIER SCIENCE,0926-2040,1527-3326,SPECTROSCOPY,SCIE,"1,356",2.4,Q2,0.51,22.22%,SOLID STATE NUCLEAR MAGNETIC RESONANCE
Surgical Oncology Clinics of North America,SURG ONCOL CLIN N AM,W B SAUNDERS CO-ELSEVIER INC,1055-3207,1558-5042,SURGERY,SCIE,"1,754",2.4,Q2,0.77,0%,SURGICAL ONCOLOGY CLINICS OF NORTH AMERICA
SURGICAL ONCOLOGY-OXFORD,SURG ONCOL,ELSEVIER SCI LTD,0960-7404,1879-3320,SURGERY,SCIE,"3,315",2.4,Q2,0.73,16.25%,SURGICAL ONCOLOGY-OXFORD
URBAN ECOSYSTEMS,URBAN ECOSYST,SPRINGER,1083-8155,1573-1642,BIODIVERSITY CONSERVATION,SCIE,"5,386",2.4,Q2,0.64,36.95%,URBAN ECOSYSTEMS
URBAN ECOSYSTEMS,URBAN ECOSYST,SPRINGER,1083-8155,1573-1642,ECOLOGY,SCIE,"5,386",2.4,Q2,0.64,36.95%,URBAN ECOSYSTEMS
ACTA TROPICA,ACTA TROP,ELSEVIER,0001-706X,1873-6254,PARASITOLOGY,SCIE,"11,826",2.5,Q2,0.95,14.07%,ACTA TROPICA
AIDS Research and Therapy,AIDS RES THER,BMC,1742-6405,1742-6405,INFECTIOUS DISEASES,SCIE,"1,648",2.5,Q2,0.58,100%,AIDS RESEARCH AND THERAPY
Animal Biotelemetry,ANIM BIOTELEM,SPRINGERNATURE,N/A,2050-3385,BIODIVERSITY CONSERVATION,SCIE,"1,032",2.5,Q2,0.8,100%,ANIMAL BIOTELEMETRY
Animal Biotelemetry,ANIM BIOTELEM,SPRINGERNATURE,N/A,2050-3385,ECOLOGY,SCIE,"1,032",2.5,Q2,0.8,100%,ANIMAL BIOTELEMETRY
ANNALS OF NUCLEAR MEDICINE,ANN NUCL MED,SPRINGER,0914-7187,1864-6433,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"2,663",2.5,Q2,0.78,25.44%,ANNALS OF NUCLEAR MEDICINE
Anthropocene Coasts,ANTHROPOCENE COASTS,SPRINGERNATURE,N/A,2561-4150,OCEANOGRAPHY,ESCI,273,2.5,Q2,0.62,100%,ANTHROPOCENE COASTS
ARCHIVE OF APPLIED MECHANICS,ARCH APPL MECH,SPRINGER,0939-1533,1432-0681,MECHANICS,SCIE,"5,052",2.5,Q2,0.58,14.84%,ARCHIVE OF APPLIED MECHANICS
ARCHIVES OF GYNECOLOGY AND OBSTETRICS,ARCH GYNECOL OBSTET,SPRINGER HEIDELBERG,0932-0067,1432-0711,OBSTETRICS & GYNECOLOGY,SCIE,"11,226",2.5,Q2,0.86,34.66%,ARCHIVES OF GYNECOLOGY AND OBSTETRICS
BMC Genomic Data,BMC GENOMIC DATA,BMC,N/A,2730-6844,GENETICS & HEREDITY,SCIE,581,2.5,Q2,0.66,100%,BMC GENOMIC DATA
BMC Rheumatology,BMC RHEUMATOL,SPRINGERNATURE,N/A,2520-1026,RHEUMATOLOGY,ESCI,972,2.5,Q2,0.68,100%,BMC RHEUMATOLOGY
Brain and Spine,BRAIN SPINE,ELSEVIER,2772-5294,2772-5294,CLINICAL NEUROLOGY,ESCI,655,2.5,Q2,0.58,99.73%,BRAIN AND SPINE
Carbohydrate Research,CARBOHYD RES,ELSEVIER SCI LTD,0008-6215,1873-426X,"CHEMISTRY, APPLIED",SCIE,"13,869",2.5,Q2,0.53,13.27%,CARBOHYDRATE RESEARCH
Carbohydrate Research,CARBOHYD RES,ELSEVIER SCI LTD,0008-6215,1873-426X,"CHEMISTRY, ORGANIC",SCIE,"13,869",2.5,Q2,0.53,13.27%,CARBOHYDRATE RESEARCH
Chinese Journal of Integrative Medicine,CHIN J INTEGR MED,SPRINGER,1672-0415,1993-0402,INTEGRATIVE & COMPLEMENTARY MEDICINE,SCIE,"3,721",2.5,Q2,0.64,0.57%,CHINESE JOURNAL OF INTEGRATIVE MEDICINE
Comprehensive Psychoneuroendocrinology,COMPR PSYCHONEUROEND,ELSEVIER,2666-4976,2666-4976,PSYCHIATRY,ESCI,503,2.5,Q2,0.67,98.55%,COMPREHENSIVE PSYCHONEUROENDOCRINOLOGY
Cost Effectiveness and Resource Allocation,COST EFFECT RESOUR A,BMC,1478-7547,1478-7547,HEALTH POLICY & SERVICES,SSCI,"1,315",2.5,Q2,0.77,100%,COST EFFECTIVENESS AND RESOURCE ALLOCATION
Current Developmental Disorders Reports,CURR DEV DISORD REP,SPRINGERNATURE,N/A,2196-2987,"PSYCHOLOGY, DEVELOPMENTAL",ESCI,839,2.5,Q2,0.88,30.99%,CURRENT DEVELOPMENTAL DISORDERS REPORTS
DERMATOLOGIC CLINICS,DERMATOL CLIN,W B SAUNDERS CO-ELSEVIER INC,0733-8635,1558-0520,DERMATOLOGY,SCIE,"3,140",2.5,Q2,1,0%,DERMATOLOGIC CLINICS
DIGESTIVE DISEASES AND SCIENCES,DIGEST DIS SCI,SPRINGER,0163-2116,1573-2568,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"18,532",2.5,Q2,0.58,18.27%,DIGESTIVE DISEASES AND SCIENCES
EARTH PLANETS AND SPACE,EARTH PLANETS SPACE,SPRINGER,N/A,1880-5981,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"6,966",2.5,Q2,0.72,99.80%,EARTH PLANETS AND SPACE
EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,EUR J MECH B-FLUID,ELSEVIER,0997-7546,1873-7390,MECHANICS,SCIE,"4,355",2.5,Q2,0.76,16.18%,EUROPEAN JOURNAL OF MECHANICS B-FLUIDS
EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,EUR J MECH B-FLUID,ELSEVIER,0997-7546,1873-7390,"PHYSICS, FLUIDS & PLASMAS",SCIE,"4,355",2.5,Q2,0.76,16.18%,EUROPEAN JOURNAL OF MECHANICS B-FLUIDS
European Journal of Wood and Wood Products,EUR J WOOD WOOD PROD,SPRINGER,0018-3768,1436-736X,FORESTRY,SCIE,"3,596",2.5,Q2,0.92,29.65%,EUROPEAN JOURNAL OF WOOD AND WOOD PRODUCTS
EXPERIMENTS IN FLUIDS,EXP FLUIDS,SPRINGER,0723-4864,1432-1114,"ENGINEERING, MECHANICAL",SCIE,"12,823",2.5,Q2,0.63,41.61%,EXPERIMENTS IN FLUIDS
EXPERIMENTS IN FLUIDS,EXP FLUIDS,SPRINGER,0723-4864,1432-1114,MECHANICS,SCIE,"12,823",2.5,Q2,0.63,41.61%,EXPERIMENTS IN FLUIDS
FISH PHYSIOLOGY AND BIOCHEMISTRY,FISH PHYSIOL BIOCHEM,SPRINGER,0920-1742,1573-5168,FISHERIES,SCIE,"6,459",2.5,Q2,0.83,12.63%,FISH PHYSIOLOGY AND BIOCHEMISTRY
FISH PHYSIOLOGY AND BIOCHEMISTRY,FISH PHYSIOL BIOCHEM,SPRINGER,0920-1742,1573-5168,PHYSIOLOGY,SCIE,"6,459",2.5,Q2,0.83,12.63%,FISH PHYSIOLOGY AND BIOCHEMISTRY
HEREDITAS,HEREDITAS,BMC,1601-5223,1601-5223,GENETICS & HEREDITY,SCIE,"1,920",2.5,Q2,0.64,100%,HEREDITAS
IEEE PHOTONICS TECHNOLOGY LETTERS,IEEE PHOTONIC TECH L,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1041-1135,1941-0174,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"15,314",2.5,Q2,0.63,4.91%,IEEE PHOTONICS TECHNOLOGY LETTERS
IEEE PHOTONICS TECHNOLOGY LETTERS,IEEE PHOTONIC TECH L,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1041-1135,1941-0174,OPTICS,SCIE,"15,314",2.5,Q2,0.63,4.91%,IEEE PHOTONICS TECHNOLOGY LETTERS
IEEE Power & Energy Magazine,IEEE POWER ENERGY M,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1540-7977,1558-4216,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"1,972",2.5,Q2,0.74,0%,IEEE POWER & ENERGY MAGAZINE
IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,IEEE T ELECTROMAGN C,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,0018-9375,1558-187X,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"7,415",2.5,Q2,0.53,7.34%,IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY
IEEE TRANSACTIONS ON NANOTECHNOLOGY,IEEE T NANOTECHNOL,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1536-125X,1941-0085,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"3,811",2.5,Q2,0.43,4.32%,IEEE TRANSACTIONS ON NANOTECHNOLOGY
IJC Heart & Vasculature,IJC HEART VASC,ELSEVIER IRELAND LTD,N/A,2352-9067,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,"2,377",2.5,Q2,0.64,99.61%,IJC HEART & VASCULATURE
INTEGRATION-THE VLSI JOURNAL,INTEGRATION,ELSEVIER,0167-9260,1872-7522,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"1,931",2.5,Q2,0.58,3.76%,INTEGRATION-THE VLSI JOURNAL
INTERNATIONAL JOURNAL OF FRACTURE,INT J FRACTURE,SPRINGER,0376-9429,1573-2673,MECHANICS,SCIE,"7,718",2.5,Q2,0.49,21.67%,INTERNATIONAL JOURNAL OF FRACTURE
INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH,INT J IMPOT RES,SPRINGERNATURE,0955-9930,1476-5489,UROLOGY & NEPHROLOGY,SCIE,"3,353",2.5,Q2,0.79,20.05%,INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH
International Journal of Mental Health and Addiction,INT J MENT HEALTH AD,SPRINGER,1557-1874,1557-1882,PSYCHIATRY,"SCIE, SSCI","6,382",2.5,Q2,1.01,37.16%,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION
International Journal of Mental Health and Addiction,INT J MENT HEALTH AD,SPRINGER,1557-1874,1557-1882,"PSYCHOLOGY, CLINICAL",SSCI,"6,382",2.5,Q2,1.01,37.16%,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION
International Journal of Mental Health and Addiction,INT J MENT HEALTH AD,SPRINGER,1557-1874,1557-1882,SUBSTANCE ABUSE,"SCIE, SSCI","6,382",2.5,Q2,1.01,37.16%,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION
International Journal of Pavement Research and Technology,INT J PAVEMENT RES T,SPRINGERNATURE,1996-6814,1997-1400,CONSTRUCTION & BUILDING TECHNOLOGY,ESCI,"2,438",2.5,Q2,0.56,5.24%,INTERNATIONAL JOURNAL OF PAVEMENT RESEARCH AND TECHNOLOGY
International Journal of Pavement Research and Technology,INT J PAVEMENT RES T,SPRINGERNATURE,1996-6814,1997-1400,"ENGINEERING, CIVIL",ESCI,"2,438",2.5,Q2,0.56,5.24%,INTERNATIONAL JOURNAL OF PAVEMENT RESEARCH AND TECHNOLOGY
JOURNAL FOR NATURE CONSERVATION,J NAT CONSERV,ELSEVIER GMBH,1617-1381,1618-1093,BIODIVERSITY CONSERVATION,SCIE,"3,390",2.5,Q2,0.66,20.77%,JOURNAL FOR NATURE CONSERVATION
JOURNAL FOR NATURE CONSERVATION,J NAT CONSERV,ELSEVIER GMBH,1617-1381,1618-1093,ECOLOGY,SCIE,"3,390",2.5,Q2,0.66,20.77%,JOURNAL FOR NATURE CONSERVATION
JOURNAL OF ARCHAEOLOGICAL SCIENCE,J ARCHAEOL SCI,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0305-4403,1095-9238,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"14,383",2.5,Q2,1.67,42.35%,JOURNAL OF ARCHAEOLOGICAL SCIENCE
Journal of Arid Environments,J ARID ENVIRON,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0140-1963,1095-922X,ECOLOGY,SCIE,"9,764",2.5,Q2,0.63,16.07%,JOURNAL OF ARID ENVIRONMENTS
Journal of Cardiovascular Translational Research,J CARDIOVASC TRANSL,SPRINGER,1937-5387,1937-5395,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"2,702",2.5,Q2,0.61,28.61%,JOURNAL OF CARDIOVASCULAR TRANSLATIONAL RESEARCH
Journal of Computational Electronics,J COMPUT ELECTRON,SPRINGER,1569-8025,1572-8137,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"2,900",2.5,Q2,0.5,7.05%,JOURNAL OF COMPUTATIONAL ELECTRONICS
JOURNAL OF ELECTRONIC MATERIALS,J ELECTRON MATER,SPRINGER,0361-5235,1543-186X,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"18,289",2.5,Q2,0.46,4.14%,JOURNAL OF ELECTRONIC MATERIALS
JOURNAL OF HUMAN GENETICS,J HUM GENET,SPRINGERNATURE,1434-5161,1435-232X,GENETICS & HEREDITY,SCIE,"4,879",2.5,Q2,0.63,23.69%,JOURNAL OF HUMAN GENETICS
Journal of Infrared Millimeter and Terahertz Waves,J INFRARED MILLIM TE,SPRINGER,1866-6892,1866-6906,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,"2,369",2.5,Q2,0.49,24.73%,JOURNAL OF INFRARED MILLIMETER AND TERAHERTZ WAVES
Journal of Infrared Millimeter and Terahertz Waves,J INFRARED MILLIM TE,SPRINGER,1866-6892,1866-6906,OPTICS,SCIE,"2,369",2.5,Q2,0.49,24.73%,JOURNAL OF INFRARED MILLIMETER AND TERAHERTZ WAVES
JOURNAL OF MARINE SYSTEMS,J MARINE SYST,ELSEVIER,0924-7963,1879-1573,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"7,180",2.5,Q2,0.82,17.88%,JOURNAL OF MARINE SYSTEMS
JOURNAL OF MARINE SYSTEMS,J MARINE SYST,ELSEVIER,0924-7963,1879-1573,OCEANOGRAPHY,SCIE,"7,180",2.5,Q2,0.82,17.88%,JOURNAL OF MARINE SYSTEMS
Journal of Optics-India,J OPT-INDIA,SPRINGER INDIA,0972-8821,0974-6900,OPTICS,ESCI,"3,236",2.5,Q2,0.67,3.02%,JOURNAL OF OPTICS-INDIA
Journal of Radiation Research and Applied Sciences,J RADIAT RES APPL SC,ELSEVIER,1687-8507,1687-8507,MULTIDISCIPLINARY SCIENCES,SCIE,"3,258",2.5,Q2,0.86,98.67%,JOURNAL OF RADIATION RESEARCH AND APPLIED SCIENCES
Journal of the Academy of Consultation-Liaison Psychiatry,J ACAD CONSULT-LIAIS,ELSEVIER SCIENCE INC,2667-2960,2667-2960,PSYCHIATRY,"SCIE, SSCI",477,2.5,Q2,0.73,12.26%,JOURNAL OF THE ACADEMY OF CONSULTATION-LIAISON PSYCHIATRY
Journal of the Academy of Consultation-Liaison Psychiatry,J ACAD CONSULT-LIAIS,ELSEVIER SCIENCE INC,2667-2960,2667-2960,PSYCHOLOGY,SCIE,477,2.5,Q2,0.73,12.26%,JOURNAL OF THE ACADEMY OF CONSULTATION-LIAISON PSYCHIATRY
JOURNAL OF THE EGYPTIAN PUBLIC HEALTH ASSOCIATION,J EGYPT PUBLIC HEAL,SPRINGER,N/A,2090-262X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",ESCI,709,2.5,Q2,0.77,100%,JOURNAL OF THE EGYPTIAN PUBLIC HEALTH ASSOCIATION
LITHOS,LITHOS,ELSEVIER,0024-4937,1872-6143,GEOCHEMISTRY & GEOPHYSICS,SCIE,"27,936",2.5,Q2,0.86,14.23%,LITHOS
LITHOS,LITHOS,ELSEVIER,0024-4937,1872-6143,MINERALOGY,SCIE,"27,936",2.5,Q2,0.86,14.23%,LITHOS
MAGNETIC RESONANCE MATERIALS IN PHYSICS BIOLOGY AND MEDICINE,MAGN RESON MATER PHY,SPRINGER,1352-8661,1352-8661,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"1,870",2.5,Q2,0.7,50.75%,MAGNETIC RESONANCE MATERIALS IN PHYSICS BIOLOGY AND MEDICINE
MARINE CHEMISTRY,MAR CHEM,ELSEVIER,0304-4203,1872-7581,OCEANOGRAPHY,SCIE,"9,364",2.5,Q2,0.65,23.27%,MARINE CHEMISTRY
MATHEMATICAL PROGRAMMING,MATH PROGRAM,SPRINGER HEIDELBERG,0025-5610,1436-4646,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,"13,819",2.5,Q2,0.85,39.48%,MATHEMATICAL PROGRAMMING
MATHEMATICAL PROGRAMMING,MATH PROGRAM,SPRINGER HEIDELBERG,0025-5610,1436-4646,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,"13,819",2.5,Q2,0.85,39.48%,MATHEMATICAL PROGRAMMING
METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE,METALL MATER TRANS A,SPRINGER,1073-5623,1543-1940,METALLURGY & METALLURGICAL ENGINEERING,SCIE,"35,750",2.5,Q2,0.52,24.68%,METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE
Microfluidics and Nanofluidics,MICROFLUID NANOFLUID,SPRINGER HEIDELBERG,1613-4982,1613-4990,INSTRUMENTS & INSTRUMENTATION,SCIE,"5,049",2.5,Q2,0.59,15.21%,MICROFLUIDICS AND NANOFLUIDICS
Microfluidics and Nanofluidics,MICROFLUID NANOFLUID,SPRINGER HEIDELBERG,1613-4982,1613-4990,"PHYSICS, FLUIDS & PLASMAS",SCIE,"5,049",2.5,Q2,0.59,15.21%,MICROFLUIDICS AND NANOFLUIDICS
MOLECULAR IMAGING AND BIOLOGY,MOL IMAGING BIOL,SPRINGER,1536-1632,1860-2002,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"2,961",2.5,Q2,0.8,39.44%,MOLECULAR IMAGING AND BIOLOGY
MOTIVATION AND EMOTION,MOTIV EMOTION,SPRINGER/PLENUM PUBLISHERS,0146-7239,1573-6644,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"6,071",2.5,Q2,0.86,34.29%,MOTIVATION AND EMOTION
MOTIVATION AND EMOTION,MOTIV EMOTION,SPRINGER/PLENUM PUBLISHERS,0146-7239,1573-6644,"PSYCHOLOGY, SOCIAL",SSCI,"6,071",2.5,Q2,0.86,34.29%,MOTIVATION AND EMOTION
MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,MUTAT RES-GEN TOX EN,ELSEVIER,1383-5718,1879-3592,GENETICS & HEREDITY,SCIE,"4,888",2.5,Q2,0.61,16.75%,MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS
Neural Development,NEURAL DEV,BMC,N/A,1749-8104,DEVELOPMENTAL BIOLOGY,SCIE,899,2.5,Q2,0.84,100%,NEURAL DEVELOPMENT
NEUROSURGICAL REVIEW,NEUROSURG REV,SPRINGER,0344-5607,1437-2320,CLINICAL NEUROLOGY,SCIE,"6,245",2.5,Q2,0.84,23.45%,NEUROSURGICAL REVIEW
North American Spine Society Journal,N AM SPINE SOC J,ELSEVIER,N/A,2666-5484,CLINICAL NEUROLOGY,ESCI,578,2.5,Q2,0.73,93.31%,NORTH AMERICAN SPINE SOCIETY JOURNAL
North American Spine Society Journal,N AM SPINE SOC J,ELSEVIER,N/A,2666-5484,ORTHOPEDICS,ESCI,578,2.5,Q2,0.73,93.31%,NORTH AMERICAN SPINE SOCIETY JOURNAL
NUCLEAR PHYSICS A,NUCL PHYS A,ELSEVIER,0375-9474,1873-1554,"PHYSICS, NUCLEAR",SCIE,"16,350",2.5,Q2,0.65,5.48%,NUCLEAR PHYSICS A
OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,OBSTET GYN CLIN N AM,W B SAUNDERS CO-ELSEVIER INC,0889-8545,1558-0474,OBSTETRICS & GYNECOLOGY,SCIE,"2,558",2.5,Q2,1.06,0%,OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA
OPTICS COMMUNICATIONS,OPT COMMUN,ELSEVIER,0030-4018,1873-0310,OPTICS,SCIE,"27,116",2.5,Q2,0.71,4.28%,OPTICS COMMUNICATIONS
ORGANIC GEOCHEMISTRY,ORG GEOCHEM,PERGAMON-ELSEVIER SCIENCE LTD,0146-6380,1873-5290,GEOCHEMISTRY & GEOPHYSICS,SCIE,"13,602",2.5,Q2,0.71,20.17%,ORGANIC GEOCHEMISTRY
ORGANIZATIONAL DYNAMICS,ORGAN DYN,ELSEVIER SCIENCE INC,0090-2616,1873-3530,"PSYCHOLOGY, APPLIED",SSCI,"3,022",2.5,Q2,0.77,30.30%,ORGANIZATIONAL DYNAMICS
PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,PHARMACOL BIOCHEM BE,PERGAMON-ELSEVIER SCIENCE LTD,0091-3057,1873-5177,BEHAVIORAL SCIENCES,SCIE,"9,945",2.5,Q2,0.83,13.11%,PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR
PHYSIOLOGY & BEHAVIOR,PHYSIOL BEHAV,PERGAMON-ELSEVIER SCIENCE LTD,0031-9384,1873-507X,BEHAVIORAL SCIENCES,SCIE,"21,314",2.5,Q2,0.83,21.12%,PHYSIOLOGY & BEHAVIOR
PHYSIOLOGY & BEHAVIOR,PHYSIOL BEHAV,PERGAMON-ELSEVIER SCIENCE LTD,0031-9384,1873-507X,"PSYCHOLOGY, BIOLOGICAL",SSCI,"21,314",2.5,Q2,0.83,21.12%,PHYSIOLOGY & BEHAVIOR
PLACENTA,PLACENTA,W B SAUNDERS CO LTD,0143-4004,1532-3102,DEVELOPMENTAL BIOLOGY,SCIE,"9,455",2.5,Q2,1.04,27.24%,PLACENTA
PLACENTA,PLACENTA,W B SAUNDERS CO LTD,0143-4004,1532-3102,OBSTETRICS & GYNECOLOGY,SCIE,"9,455",2.5,Q2,1.04,27.24%,PLACENTA
PLACENTA,PLACENTA,W B SAUNDERS CO LTD,0143-4004,1532-3102,REPRODUCTIVE BIOLOGY,SCIE,"9,455",2.5,Q2,1.04,27.24%,PLACENTA
PLASMA CHEMISTRY AND PLASMA PROCESSING,PLASMA CHEM PLASMA P,SPRINGER,0272-4324,1572-8986,"PHYSICS, FLUIDS & PLASMAS",SCIE,"4,095",2.5,Q2,0.59,18.48%,PLASMA CHEMISTRY AND PLASMA PROCESSING
Population Health Metrics,POPUL HEALTH METR,BMC,1478-7954,1478-7954,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"1,719",2.5,Q2,0.97,100%,POPULATION HEALTH METRICS
PROTOPLASMA,PROTOPLASMA,SPRINGER WIEN,0033-183X,1615-6102,PLANT SCIENCES,SCIE,"6,025",2.5,Q2,0.52,10.53%,PROTOPLASMA
Quaternary Geochronology,QUAT GEOCHRONOL,ELSEVIER SCI LTD,1871-1014,1878-0350,"GEOGRAPHY, PHYSICAL",SCIE,"3,879",2.5,Q2,0.59,26.98%,QUATERNARY GEOCHRONOLOGY
Quaternary Geochronology,QUAT GEOCHRONOL,ELSEVIER SCI LTD,1871-1014,1878-0350,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"3,879",2.5,Q2,0.59,26.98%,QUATERNARY GEOCHRONOLOGY
Reproductive Sciences,REPROD SCI,SPRINGER HEIDELBERG,1933-7191,1933-7205,OBSTETRICS & GYNECOLOGY,SCIE,"7,397",2.5,Q2,0.83,22.99%,REPRODUCTIVE SCIENCES
Reproductive Sciences,REPROD SCI,SPRINGER HEIDELBERG,1933-7191,1933-7205,REPRODUCTIVE BIOLOGY,SCIE,"7,397",2.5,Q2,0.83,22.99%,REPRODUCTIVE SCIENCES
Seminars in Thoracic and Cardiovascular Surgery,SEMIN THORAC CARDIOV,ELSEVIER INC,1043-0679,1532-9488,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"2,104",2.5,Q2,0.83,7.21%,SEMINARS IN THORACIC AND CARDIOVASCULAR SURGERY
Spatial Statistics,SPAT STAT-NETH,ELSEVIER SCI LTD,2211-6753,N/A,"GEOSCIENCES, MULTIDISCIPLINARY",SCIE,"1,539",2.5,Q2,0.81,27.20%,SPATIAL STATISTICS
SSM-Qualitative Research in Health,SSM-QUAL RES HEALTH,ELSEVIER,2667-3215,2667-3215,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",ESCI,"1,021",2.5,Q2,0.88,96.25%,SSM-QUALITATIVE RESEARCH IN HEALTH
SSM-Qualitative Research in Health,SSM-QUAL RES HEALTH,ELSEVIER,2667-3215,2667-3215,"SOCIAL SCIENCES, BIOMEDICAL",ESCI,"1,021",2.5,Q2,0.88,96.25%,SSM-QUALITATIVE RESEARCH IN HEALTH
STRAHLENTHERAPIE UND ONKOLOGIE,STRAHLENTHER ONKOL,SPRINGER HEIDELBERG,0179-7158,1439-099X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"3,414",2.5,Q2,0.65,60.06%,STRAHLENTHERAPIE UND ONKOLOGIE
SYSTEMS & CONTROL LETTERS,SYST CONTROL LETT,ELSEVIER,0167-6911,1872-7956,AUTOMATION & CONTROL SYSTEMS,SCIE,"8,984",2.5,Q2,0.47,11.93%,SYSTEMS & CONTROL LETTERS
SYSTEMS & CONTROL LETTERS,SYST CONTROL LETT,ELSEVIER,0167-6911,1872-7956,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,SCIE,"8,984",2.5,Q2,0.47,11.93%,SYSTEMS & CONTROL LETTERS
